instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed
60,44,1,0,1,14,0,1,1,1,0.26,0.2424,0.3,0.2836
61,44,1,0,1,15,0,1,1,1,0.26,0.2424,0.3,0.2537
62,44,1,0,1,16,0,1,1,1,0.26,0.2424,0.3,0.2537
63,44,1,0,1,17,0,1,1,1,0.24,0.2273,0.3,0.2239
64,44,1,0,1,18,0,1,1,1,0.24,0.2576,0.32,0.1045
65,44,1,0,1,19,0,1,1,1,0.2,0.2576,0.47,0.0
66,44,1,0,1,20,0,1,1,1,0.2,0.2273,0.47,0.1045
67,44,1,0,1,21,0,1,1,1,0.18,0.1969999999999999,0.64,0.1343
68,44,1,0,1,22,0,1,1,1,0.14,0.1515,0.69,0.1343
69,44,1,0,1,23,0,1,1,1,0.18,0.2121,0.55,0.1045
70,50,1,0,1,0,0,2,1,1,0.16,0.1818,0.55,0.1045
71,50,1,0,1,1,0,2,1,1,0.16,0.1818,0.59,0.1045
72,50,1,0,1,2,0,2,1,1,0.14,0.1515,0.63,0.1343
73,50,1,0,1,4,0,2,1,1,0.14,0.1818,0.63,0.0896
74,50,1,0,1,5,0,2,1,1,0.12,0.1515,0.68,0.1045
75,50,1,0,1,6,0,2,1,1,0.12,0.1515,0.74,0.1045
76,50,1,0,1,7,0,2,1,1,0.12,0.1515,0.74,0.1343
77,50,1,0,1,8,0,2,1,1,0.14,0.1515,0.69,0.1642
78,50,1,0,1,9,0,2,1,1,0.16,0.1515,0.64,0.2239
79,50,1,0,1,10,0,2,1,2,0.16,0.1364,0.69,0.3284
80,50,1,0,1,11,0,2,1,1,0.22,0.2121,0.51,0.2985
81,50,1,0,1,12,0,2,1,1,0.22,0.2273,0.51,0.1642
82,50,1,0,1,13,0,2,1,1,0.24,0.2273,0.56,0.1939999999999999
83,50,1,0,1,14,0,2,1,1,0.26,0.2576,0.52,0.2239
84,50,1,0,1,15,0,2,1,1,0.28,0.2727,0.52,0.2537
85,50,1,0,1,16,0,2,1,1,0.3,0.2879,0.49,0.2537
86,50,1,0,1,17,0,2,1,1,0.28,0.2727,0.48,0.2239
87,50,1,0,1,18,0,2,1,1,0.26,0.2576,0.48,0.1939999999999999
88,50,1,0,1,19,0,2,1,1,0.24,0.2576,0.48,0.1045
89,50,1,0,1,20,0,2,1,1,0.24,0.2576,0.48,0.1045
90,50,1,0,1,21,0,2,1,1,0.22,0.2727,0.64,0.0
91,50,1,0,1,22,0,2,1,1,0.22,0.2576,0.64,0.0896
92,50,1,0,1,23,0,2,1,1,0.2,0.2273,0.69,0.0896
93,52,1,0,1,0,0,3,1,1,0.2,0.2576,0.64,0.0
94,52,1,0,1,1,0,3,1,1,0.16,0.1969999999999999,0.74,0.0896
95,52,1,0,1,2,0,3,1,1,0.16,0.1969999999999999,0.74,0.0896
96,52,1,0,1,4,0,3,1,1,0.24,0.2273,0.48,0.2239
97,52,1,0,1,5,0,3,1,1,0.22,0.2273,0.47,0.1642
98,52,1,0,1,6,0,3,1,1,0.2,0.1969999999999999,0.47,0.2239
99,52,1,0,1,7,0,3,1,1,0.18,0.1818,0.43,0.1939999999999999
100,52,1,0,1,8,0,3,1,1,0.2,0.1818,0.4,0.2985
101,52,1,0,1,9,0,3,1,1,0.22,0.1969999999999999,0.37,0.3284
102,52,1,0,1,10,0,3,1,1,0.22,0.1969999999999999,0.37,0.3284
103,52,1,0,1,11,0,3,1,1,0.26,0.2273,0.33,0.3284
104,52,1,0,1,12,0,3,1,1,0.26,0.2273,0.33,0.3284
105,52,1,0,1,13,0,3,1,1,0.28,0.2576,0.3,0.2985
106,52,1,0,1,14,0,3,1,1,0.3,0.2879,0.28,0.1939999999999999
107,52,1,0,1,15,0,3,1,1,0.3,0.2879,0.28,0.1939999999999999
108,52,1,0,1,16,0,3,1,1,0.3,0.3182,0.28,0.0896
109,52,1,0,1,17,0,3,1,1,0.24,0.2273,0.38,0.1939999999999999
110,52,1,0,1,18,0,3,1,1,0.24,0.2424,0.38,0.1343
111,52,1,0,1,19,0,3,1,1,0.24,0.2576,0.38,0.1045
112,52,1,0,1,20,0,3,1,1,0.22,0.2273,0.47,0.1642
113,52,1,0,1,21,0,3,1,1,0.2,0.1969999999999999,0.51,0.1939999999999999
114,52,1,0,1,22,0,3,1,1,0.18,0.1969999999999999,0.55,0.1343
115,52,1,0,1,23,0,3,1,1,0.2,0.2576,0.47,0.0
116,54,1,0,1,0,0,4,1,1,0.18,0.2424,0.55,0.0
117,54,1,0,1,1,0,4,1,1,0.16,0.2273,0.64,0.0
118,54,1,0,1,2,0,4,1,1,0.16,0.2273,0.64,0.0
119,54,1,0,1,4,0,4,1,2,0.16,0.1969999999999999,0.64,0.0896
120,54,1,0,1,5,0,4,1,2,0.14,0.1818,0.69,0.0896
121,54,1,0,1,6,0,4,1,2,0.14,0.1667,0.63,0.1045
122,54,1,0,1,7,0,4,1,2,0.16,0.2273,0.59,0.0
123,54,1,0,1,8,0,4,1,1,0.16,0.2273,0.59,0.0
124,54,1,0,1,9,0,4,1,2,0.18,0.2424,0.51,0.0
125,54,1,0,1,10,0,4,1,1,0.2,0.2576,0.47,0.0
126,54,1,0,1,11,0,4,1,1,0.22,0.2576,0.44,0.0896
127,54,1,0,1,12,0,4,1,1,0.26,0.2879,0.35,0.0
128,54,1,0,1,13,0,4,1,1,0.26,0.2727,0.35,0.1045
129,54,1,0,1,14,0,4,1,1,0.28,0.2727,0.36,0.1642
130,54,1,0,1,15,0,4,1,1,0.28,0.2727,0.36,0.0
131,54,1,0,1,16,0,4,1,1,0.26,0.2576,0.38,0.1642
132,54,1,0,1,17,0,4,1,1,0.22,0.2273,0.51,0.1642
133,54,1,0,1,18,0,4,1,1,0.22,0.2273,0.51,0.1343
134,54,1,0,1,19,0,4,1,1,0.22,0.2576,0.55,0.0896
135,54,1,0,1,20,0,4,1,1,0.2,0.2121,0.51,0.1642
136,54,1,0,1,21,0,4,1,2,0.22,0.2121,0.55,0.2239
137,54,1,0,1,22,0,4,1,2,0.22,0.2121,0.51,0.2836
138,54,1,0,1,23,0,4,1,2,0.2,0.1969999999999999,0.59,0.1939999999999999
139,56,1,0,1,0,0,5,1,2,0.2,0.1969999999999999,0.64,0.1939999999999999
140,56,1,0,1,1,0,5,1,2,0.2,0.1969999999999999,0.69,0.2239
141,56,1,0,1,2,0,5,1,2,0.2,0.1969999999999999,0.69,0.2239
142,56,1,0,1,4,0,5,1,2,0.2,0.2121,0.69,0.1343
143,56,1,0,1,5,0,5,1,3,0.22,0.2727,0.55,0.0
144,56,1,0,1,6,0,5,1,2,0.2,0.2576,0.69,0.0
145,56,1,0,1,7,0,5,1,1,0.2,0.2121,0.69,0.1343
146,56,1,0,1,8,0,5,1,1,0.2,0.1969999999999999,0.51,0.2537
147,56,1,0,1,9,0,5,1,1,0.2,0.1818,0.47,0.2985
148,56,1,0,1,10,0,5,1,1,0.22,0.1969999999999999,0.37,0.3284
149,56,1,0,1,11,0,5,1,2,0.2,0.1969999999999999,0.4,0.2239
150,56,1,0,1,12,0,5,1,2,0.2,0.1969999999999999,0.37,0.2537
151,56,1,0,1,13,0,5,1,2,0.2,0.1818,0.37,0.2836
152,56,1,0,1,14,0,5,1,2,0.2,0.1969999999999999,0.4,0.2537
153,56,1,0,1,15,0,5,1,2,0.2,0.2121,0.37,0.1642
154,56,1,0,1,16,0,5,1,2,0.2,0.2121,0.37,0.1642
155,56,1,0,1,17,0,5,1,2,0.2,0.2576,0.37,0.0
156,56,1,0,1,18,0,5,1,1,0.2,0.2273,0.4,0.0896
157,56,1,0,1,19,0,5,1,1,0.16,0.1969999999999999,0.55,0.0896
158,56,1,0,1,20,0,5,1,1,0.18,0.2121,0.47,0.1045
159,56,1,0,1,21,0,5,1,1,0.18,0.1969999999999999,0.47,0.1343
160,56,1,0,1,22,0,5,1,2,0.18,0.1969999999999999,0.43,0.1642
161,56,1,0,1,23,0,5,1,2,0.18,0.1969999999999999,0.51,0.1642
162,58,1,0,1,0,0,6,0,2,0.18,0.1969999999999999,0.51,0.1642
163,58,1,0,1,1,0,6,0,2,0.18,0.2121,0.55,0.0896
164,58,1,0,1,2,0,6,0,2,0.18,0.2424,0.55,0.0
165,58,1,0,1,3,0,6,0,3,0.18,0.1969999999999999,0.55,0.1642
166,58,1,0,1,4,0,6,0,3,0.18,0.1969999999999999,0.55,0.1642
167,58,1,0,1,5,0,6,0,2,0.16,0.1667,0.74,0.1642
168,58,1,0,1,6,0,6,0,2,0.16,0.1667,0.74,0.1642
169,58,1,0,1,7,0,6,0,2,0.16,0.1818,0.74,0.1045
170,58,1,0,1,8,0,6,0,3,0.16,0.1818,0.93,0.1045
171,58,1,0,1,9,0,6,0,3,0.16,0.1818,0.93,0.1045
172,58,1,0,1,10,0,6,0,2,0.18,0.1969999999999999,0.8,0.1642
173,58,1,0,1,11,0,6,0,2,0.2,0.1818,0.69,0.3881
174,58,1,0,1,12,0,6,0,2,0.2,0.1818,0.59,0.3582
175,58,1,0,1,13,0,6,0,1,0.2,0.1818,0.44,0.3284
176,58,1,0,1,14,0,6,0,1,0.2,0.1667,0.32,0.4925
177,58,1,0,1,15,0,6,0,1,0.2,0.1667,0.32,0.4478
178,58,1,0,1,16,0,6,0,1,0.18,0.1364,0.29,0.4478
179,58,1,0,1,17,0,6,0,1,0.16,0.1212,0.37,0.5522
180,58,1,0,1,18,0,6,0,1,0.14,0.1212,0.39,0.2985
181,58,1,0,1,19,0,6,0,1,0.14,0.1212,0.36,0.2537
182,58,1,0,1,20,0,6,0,1,0.12,0.1212,0.36,0.2537
183,58,1,0,1,21,0,6,0,1,0.12,0.1061,0.39,0.3582
184,58,1,0,1,22,0,6,0,1,0.12,0.1061,0.36,0.3881
185,58,1,0,1,23,0,6,0,1,0.1,0.0606,0.39,0.4478
186,60,1,0,1,0,0,0,0,1,0.1,0.0758,0.42,0.3881
187,60,1,0,1,1,0,0,0,1,0.1,0.0606,0.42,0.4627
188,60,1,0,1,2,0,0,0,1,0.1,0.0606,0.46,0.4627
189,60,1,0,1,3,0,0,0,1,0.1,0.0758,0.46,0.4179
190,60,1,0,1,4,0,0,0,1,0.08,0.0909,0.53,0.1939999999999999
191,60,1,0,1,5,0,0,0,1,0.08,0.0909,0.53,0.1939999999999999
192,60,1,0,1,6,0,0,0,1,0.1,0.0909,0.49,0.2836
193,60,1,0,1,7,0,0,0,1,0.08,0.0909,0.53,0.1939999999999999
194,60,1,0,1,8,0,0,0,1,0.1,0.0909,0.49,0.2836
195,60,1,0,1,9,0,0,0,1,0.12,0.0758,0.46,0.5224
196,60,1,0,1,10,0,0,0,1,0.14,0.1061,0.43,0.3881
197,60,1,0,1,11,0,0,0,1,0.16,0.1212,0.4,0.5224
198,60,1,0,1,12,0,0,0,1,0.18,0.1364,0.37,0.4478
199,60,1,0,1,13,0,0,0,1,0.2,0.1667,0.34,0.4478
200,60,1,0,1,14,0,0,0,1,0.22,0.1818,0.32,0.4627
201,60,1,0,1,15,0,0,0,1,0.22,0.1969999999999999,0.35,0.3582
202,60,1,0,1,16,0,0,0,1,0.2,0.1667,0.34,0.4478
203,60,1,0,1,17,0,0,0,1,0.18,0.1515,0.37,0.3881
204,60,1,0,1,18,0,0,0,1,0.16,0.1364,0.4,0.3284
205,60,1,0,1,19,0,0,0,1,0.16,0.1364,0.43,0.3284
206,60,1,0,1,20,0,0,0,1,0.14,0.1212,0.46,0.2537
207,60,1,0,1,21,0,0,0,1,0.14,0.1061,0.46,0.4179
208,60,1,0,1,22,0,0,0,1,0.14,0.1212,0.46,0.2985
209,60,1,0,1,23,0,0,0,1,0.12,0.1364,0.5,0.1939999999999999
210,2,1,0,1,0,0,1,1,1,0.12,0.1212,0.5,0.2836
211,2,1,0,1,1,0,1,1,1,0.12,0.1212,0.5,0.2836
212,2,1,0,1,2,0,1,1,1,0.12,0.1212,0.5,0.2239
213,2,1,0,1,3,0,1,1,1,0.12,0.1212,0.5,0.2239
214,2,1,0,1,4,0,1,1,1,0.1,0.1212,0.54,0.1343
215,2,1,0,1,5,0,1,1,1,0.1,0.1061,0.54,0.2537
216,2,1,0,1,6,0,1,1,1,0.12,0.1212,0.5,0.2836
217,2,1,0,1,7,0,1,1,1,0.12,0.1212,0.5,0.2239
218,2,1,0,1,8,0,1,1,2,0.12,0.1212,0.5,0.2836
219,2,1,0,1,9,0,1,1,2,0.14,0.1212,0.5,0.2537
220,2,1,0,1,10,0,1,1,2,0.14,0.1212,0.5,0.2985
221,2,1,0,1,11,0,1,1,2,0.16,0.1364,0.47,0.2836
222,2,1,0,1,12,0,1,1,2,0.2,0.1818,0.4,0.2836
223,2,1,0,1,13,0,1,1,2,0.2,0.1818,0.4,0.2836
224,2,1,0,1,14,0,1,1,2,0.2,0.1969999999999999,0.4,0.2239
225,2,1,0,1,15,0,1,1,2,0.2,0.1969999999999999,0.4,0.2239
226,2,1,0,1,16,0,1,1,1,0.2,0.2121,0.4,0.1343
227,2,1,0,1,17,0,1,1,1,0.2,0.2273,0.4,0.1045
228,2,1,0,1,18,0,1,1,1,0.2,0.1969999999999999,0.4,0.2239
229,2,1,0,1,19,0,1,1,1,0.16,0.1667,0.47,0.1642
230,2,1,0,1,20,0,1,1,1,0.16,0.1667,0.5,0.1642
231,2,1,0,1,21,0,1,1,1,0.14,0.1364,0.59,0.1939999999999999
232,2,1,0,1,22,0,1,1,1,0.14,0.1515,0.59,0.1642
233,2,1,0,1,23,0,1,1,1,0.14,0.1515,0.59,0.1642
234,4,1,0,1,0,0,2,1,1,0.14,0.1667,0.59,0.1045
235,4,1,0,1,1,0,2,1,1,0.14,0.1515,0.59,0.1642
236,4,1,0,1,2,0,2,1,2,0.16,0.1515,0.55,0.1939999999999999
237,4,1,0,1,5,0,2,1,2,0.16,0.1818,0.55,0.1343
238,4,1,0,1,6,0,2,1,2,0.16,0.1818,0.55,0.1343
239,4,1,0,1,7,0,2,1,2,0.16,0.2273,0.55,0.0
240,4,1,0,1,8,0,2,1,2,0.18,0.2121,0.51,0.0896
241,4,1,0,1,9,0,2,1,2,0.18,0.1969999999999999,0.51,0.1642
242,4,1,0,1,10,0,2,1,2,0.2,0.2121,0.51,0.1642
243,4,1,0,1,11,0,2,1,2,0.2,0.2121,0.47,0.1343
244,4,1,0,1,12,0,2,1,2,0.2,0.2273,0.51,0.1045
245,4,1,0,1,13,0,2,1,2,0.2,0.2273,0.59,0.0896
246,4,1,0,1,14,0,2,1,2,0.2,0.2273,0.59,0.0896
247,4,1,0,1,15,0,2,1,2,0.16,0.1969999999999999,0.8,0.0896
248,4,1,0,1,16,0,2,1,2,0.16,0.1515,0.86,0.2239
249,4,1,0,1,17,0,2,1,2,0.16,0.1515,0.86,0.2239
250,4,1,0,1,18,0,2,1,3,0.16,0.1818,0.93,0.1045
251,4,1,0,1,19,0,2,1,3,0.16,0.2273,0.93,0.0
252,4,1,0,1,20,0,2,1,3,0.16,0.1515,0.93,0.1939999999999999
253,4,1,0,1,21,0,2,1,3,0.16,0.1969999999999999,0.86,0.0896
254,4,1,0,1,22,0,2,1,3,0.16,0.1818,0.93,0.1045
255,4,1,0,1,23,0,2,1,3,0.16,0.1969999999999999,0.93,0.0896
256,6,1,0,1,0,0,3,1,2,0.16,0.1969999999999999,0.86,0.0896
257,6,1,0,1,1,0,3,1,2,0.16,0.1818,0.86,0.1045
258,6,1,0,1,2,0,3,1,1,0.14,0.1515,0.86,0.1343
259,6,1,0,1,5,0,3,1,1,0.14,0.1515,0.86,0.1642
260,6,1,0,1,6,0,3,1,1,0.12,0.1515,0.93,0.1343
261,6,1,0,1,7,0,3,1,1,0.14,0.1515,0.69,0.1343
262,6,1,0,1,8,0,3,1,1,0.16,0.1667,0.59,0.1642
263,6,1,0,1,9,0,3,1,1,0.16,0.1364,0.59,0.3284
264,6,1,0,1,10,0,3,1,1,0.18,0.1818,0.55,0.2239
265,6,1,0,1,11,0,3,1,1,0.2,0.1818,0.51,0.3881
266,6,1,0,1,12,0,3,1,1,0.2,0.1515,0.47,0.5821
267,6,1,0,1,13,0,3,1,1,0.22,0.1969999999999999,0.44,0.3582
268,6,1,0,1,14,0,3,1,1,0.2,0.1818,0.47,0.3284
269,6,1,0,1,15,0,3,1,1,0.2,0.1667,0.47,0.4179
270,6,1,0,1,16,0,3,1,1,0.22,0.1969999999999999,0.44,0.3284
271,6,1,0,1,17,0,3,1,1,0.2,0.1818,0.47,0.3582
272,6,1,0,1,18,0,3,1,1,0.2,0.1515,0.47,0.5224
273,6,1,0,1,19,0,3,1,1,0.18,0.1515,0.47,0.4179
274,6,1,0,1,20,0,3,1,1,0.16,0.1364,0.5,0.3284
275,6,1,0,1,21,0,3,1,1,0.16,0.1364,0.55,0.3284
276,6,1,0,1,22,0,3,1,1,0.16,0.1212,0.55,0.4478
277,6,1,0,1,23,0,3,1,1,0.14,0.1061,0.59,0.4179
278,8,1,0,1,0,0,4,1,1,0.14,0.1212,0.59,0.2836
279,8,1,0,1,1,0,4,1,1,0.14,0.1212,0.5,0.2836
280,8,1,0,1,2,0,4,1,1,0.14,0.1212,0.5,0.3582
281,8,1,0,1,3,0,4,1,1,0.14,0.1212,0.5,0.3284
282,8,1,0,1,4,0,4,1,1,0.14,0.1212,0.5,0.2537
283,8,1,0,1,5,0,4,1,1,0.14,0.1212,0.5,0.2985
284,8,1,0,1,6,0,4,1,1,0.12,0.1515,0.54,0.1343
285,8,1,0,1,7,0,4,1,1,0.12,0.1515,0.54,0.1343
286,8,1,0,1,8,0,4,1,1,0.14,0.1364,0.5,0.1939999999999999
287,8,1,0,1,9,0,4,1,1,0.14,0.1212,0.5,0.3284
288,8,1,0,1,10,0,4,1,2,0.16,0.1364,0.5,0.3582
289,8,1,0,1,11,0,4,1,2,0.2,0.1667,0.44,0.4478
290,8,1,0,1,12,0,4,1,1,0.2,0.1667,0.44,0.4179
291,8,1,0,1,13,0,4,1,1,0.22,0.1969999999999999,0.41,0.4478
292,8,1,0,1,14,0,4,1,1,0.22,0.1969999999999999,0.41,0.3881
293,8,1,0,1,15,0,4,1,1,0.24,0.2121,0.38,0.2985
294,8,1,0,1,16,0,4,1,1,0.24,0.2121,0.38,0.3582
295,8,1,0,1,17,0,4,1,1,0.2,0.1818,0.4,0.2836
296,8,1,0,1,18,0,4,1,1,0.2,0.1818,0.4,0.3284
297,8,1,0,1,19,0,4,1,1,0.16,0.1515,0.47,0.2537
298,8,1,0,1,20,0,4,1,1,0.16,0.1515,0.47,0.2239
299,8,1,0,1,21,0,4,1,1,0.14,0.1212,0.46,0.2985
300,8,1,0,1,22,0,4,1,1,0.14,0.1212,0.46,0.3284
301,8,1,0,1,23,0,4,1,1,0.12,0.1364,0.5,0.1939999999999999
302,10,1,0,1,0,0,5,1,1,0.12,0.1364,0.5,0.1939999999999999
303,10,1,0,1,1,0,5,1,1,0.1,0.1212,0.54,0.1642
304,10,1,0,1,2,0,5,1,1,0.1,0.1212,0.54,0.1343
305,10,1,0,1,3,0,5,1,1,0.1,0.1364,0.54,0.1045
306,10,1,0,1,5,0,5,1,1,0.1,0.1364,0.54,0.0896
307,10,1,0,1,6,0,5,1,1,0.1,0.1818,0.54,0.0
308,10,1,0,1,7,0,5,1,1,0.1,0.1212,0.74,0.1642
309,10,1,0,1,8,0,5,1,1,0.12,0.1667,0.68,0.0
310,10,1,0,1,9,0,5,1,1,0.14,0.1515,0.69,0.1343
311,10,1,0,1,10,0,5,1,1,0.18,0.1818,0.55,0.1939999999999999
312,10,1,0,1,11,0,5,1,1,0.18,0.1667,0.51,0.2836
313,10,1,0,1,12,0,5,1,1,0.2,0.1969999999999999,0.44,0.2537
314,10,1,0,1,13,0,5,1,1,0.22,0.1969999999999999,0.37,0.3881
315,10,1,0,1,14,0,5,1,1,0.22,0.2121,0.41,0.2836
316,10,1,0,1,15,0,5,1,1,0.24,0.2424,0.38,0.1642
317,10,1,0,1,16,0,5,1,1,0.22,0.2424,0.41,0.1045
318,10,1,0,1,17,0,5,1,1,0.22,0.2273,0.41,0.1642
319,10,1,0,1,18,0,5,1,1,0.2,0.2576,0.47,0.0
320,10,1,0,1,19,0,5,1,1,0.16,0.1969999999999999,0.59,0.0896
321,10,1,0,1,20,0,5,1,1,0.18,0.2424,0.59,0.0
322,10,1,0,1,21,0,5,1,1,0.16,0.2273,0.69,0.0
323,10,1,0,1,22,0,5,1,2,0.16,0.2273,0.69,0.0
324,10,1,0,1,23,0,5,1,2,0.18,0.2424,0.55,0.0
325,12,1,0,1,0,0,6,0,1,0.18,0.2424,0.55,0.0
326,12,1,0,1,1,0,6,0,2,0.16,0.1969999999999999,0.59,0.0896
327,12,1,0,1,2,0,6,0,2,0.16,0.1969999999999999,0.59,0.0896
328,12,1,0,1,3,0,6,0,2,0.16,0.2273,0.59,0.0
329,12,1,0,1,4,0,6,0,2,0.16,0.2273,0.59,0.0
330,12,1,0,1,5,0,6,0,1,0.16,0.2273,0.59,0.0
331,12,1,0,1,6,0,6,0,1,0.14,0.1667,0.63,0.1045
332,12,1,0,1,7,0,6,0,1,0.14,0.2121,0.63,0.0
333,12,1,0,1,8,0,6,0,1,0.14,0.1515,0.63,0.1343
334,12,1,0,1,9,0,6,0,1,0.16,0.1818,0.64,0.1343
335,12,1,0,1,10,0,6,0,1,0.18,0.1969999999999999,0.59,0.1642
336,12,1,0,1,11,0,6,0,1,0.2,0.1969999999999999,0.55,0.2239
337,12,1,0,1,12,0,6,0,1,0.24,0.2273,0.48,0.2239
338,12,1,0,1,13,0,6,0,1,0.28,0.2576,0.38,0.2985
339,12,1,0,1,14,0,6,0,1,0.3,0.2879,0.39,0.2836
340,12,1,0,1,15,0,6,0,2,0.32,0.3182,0.36,0.1939999999999999
341,12,1,0,1,16,0,6,0,2,0.34,0.3333,0.34,0.1939999999999999
342,12,1,0,1,17,0,6,0,2,0.32,0.303,0.36,0.2836
343,12,1,0,1,18,0,6,0,2,0.3,0.2879,0.45,0.2537
344,12,1,0,1,19,0,6,0,2,0.32,0.303,0.39,0.2537
345,12,1,0,1,20,0,6,0,2,0.32,0.303,0.39,0.2537
346,12,1,0,1,21,0,6,0,2,0.32,0.303,0.39,0.2239
347,12,1,0,1,22,0,6,0,2,0.3,0.3182,0.42,0.1045
348,12,1,0,1,23,0,6,0,1,0.3,0.2879,0.45,0.2836
349,14,1,0,1,0,0,0,0,1,0.26,0.303,0.56,0.0
350,14,1,0,1,1,0,0,0,1,0.26,0.2727,0.56,0.1343
351,14,1,0,1,2,0,0,0,1,0.26,0.2879,0.56,0.0896
352,14,1,0,1,3,0,0,0,1,0.22,0.2727,0.69,0.0
353,14,1,0,1,4,0,0,0,1,0.26,0.2576,0.56,0.1642
354,14,1,0,1,5,0,0,0,2,0.26,0.2576,0.56,0.1642
355,14,1,0,1,6,0,0,0,2,0.26,0.2576,0.56,0.1642
356,14,1,0,1,7,0,0,0,2,0.24,0.2121,0.56,0.2985
357,14,1,0,1,8,0,0,0,1,0.22,0.2121,0.55,0.2836
358,14,1,0,1,9,0,0,0,1,0.22,0.2121,0.51,0.2537
