Age,Occupation,Gender,Same_ofiice_home_location,kids,RM_save_money,RM_quality_time,RM_better_sleep,calmer_stressed,RM_professional_growth,RM_lazy,RM_productive,digital_connect_sufficient,RM_better_work_life_balance,RM_improved_skillset,RM_job_opportunities
25,4,0,1,0,1,1,1,0,3,1,5,0,4,3,1
22,2,1,0,0,1,1,0,1,2,4,3,0,5,3,2
28,3,1,0,0,0,0,0,1,5,1,3,1,1,3,2
27,3,0,0,0,1,0,0,1,3,5,5,1,1,4,1
25,2,0,1,0,1,1,1,0,1,1,5,1,5,4,1
21,4,1,0,0,1,1,1,0,3,4,3,0,3,2,1
25,5,1,0,0,1,0,0,1,3,5,3,0,3,4,1
24,1,1,1,0,0,0,0,0,3,4,2,0,2,3,1
24,3,1,0,0,1,0,0,1,5,3,3,0,1,2,1
26,2,0,0,0,1,1,1,0,3,3,3,1,4,4,2
27,3,0,0,1,1,0,0,1,4,5,4,1,2,4,2
26,1,1,0,0,0,0,0,1,3,4,2,1,1,4,2
27,2,1,0,0,0,0,1,1,2,1,2,1,1,5,0
23,5,0,1,0,1,1,1,1,3,4,4,0,2,3,1
24,3,1,0,0,1,1,0,1,3,5,4,1,2,3,1
25,1,0,1,0,1,1,1,0,3,4,4,1,3,4,1
54,0,1,1,1,1,1,1,0,4,4,4,1,5,3,0
23,0,0,0,0,1,0,0,1,4,4,4,1,1,4,2
22,1,1,0,0,0,0,0,1,4,4,2,0,2,2,1
26,3,0,1,0,1,1,1,0,3,3,5,0,3,4,0
53,2,0,1,1,1,1,1,0,2,3,4,0,4,3,1
42,6,0,1,1,1,1,0,1,1,1,5,1,4,5,2
27,0,0,1,1,1,1,0,1,2,4,3,1,2,3,2
25,4,1,1,0,0,0,0,1,4,5,3,0,2,3,2
54,0,1,1,1,1,1,1,0,4,4,4,1,5,3,0
25,4,0,1,0,1,1,1,0,1,1,5,1,5,4,1
42,6,0,1,1,1,1,0,1,1,1,5,1,4,5,2
29,1,0,1,1,1,1,0,1,2,3,3,1,4,5,2
21,6,1,0,0,0,0,0,0,3,3,3,0,3,3,0
25,1,0,1,0,1,1,0,1,3,2,4,0,3,5,2
26,4,1,0,0,1,1,1,1,3,4,4,1,4,5,2
26,1,1,0,0,1,0,1,1,3,3,3,1,4,3,1
25,2,0,0,1,1,0,0,1,5,3,5,1,1,3,0
28,3,1,1,0,0,0,0,1,2,4,3,0,2,5,1
32,1,0,1,1,1,1,1,0,4,1,5,1,3,3,1
54,0,1,1,1,1,1,1,0,4,4,4,1,5,3,0
26,4,1,1,0,1,1,0,1,4,4,4,0,4,3,1
25,4,0,0,1,1,0,0,1,5,3,5,1,1,3,0
23,6,0,0,0,1,1,1,0,3,3,4,0,2,3,0
36,6,0,1,1,1,1,1,0,4,3,3,0,1,1,1
25,3,0,0,0,1,0,0,1,4,3,3,1,3,1,1
41,6,0,0,1,1,1,1,1,3,2,4,1,3,4,0
26,1,1,0,0,1,1,1,1,2,4,3,0,2,4,1
26,2,0,1,1,1,1,1,0,3,3,4,0,5,3,0
26,5,1,1,0,0,1,0,1,3,3,5,1,4,2,2
27,5,1,0,0,1,1,1,0,3,3,3,0,3,5,2
24,1,1,1,0,0,0,0,0,3,4,2,0,2,3,1
34,1,0,0,0,0,1,0,1,3,4,3,0,3,4,1
44,6,0,0,1,0,0,0,1,4,1,3,0,4,3,0
25,5,0,0,0,1,1,1,0,3,2,4,0,4,3,1
27,1,0,1,0,1,1,0,1,4,4,4,0,4,4,2
25,1,1,0,0,1,1,1,0,4,3,4,0,3,4,2
26,0,0,0,0,1,1,1,0,1,2,3,1,5,3,2
29,5,0,0,0,1,0,0,1,4,4,3,0,3,3,1
25,0,0,1,0,1,1,0,1,4,4,4,0,4,4,2
27,1,1,0,0,0,0,1,1,3,3,4,0,3,3,2
25,5,1,0,0,1,1,1,0,4,3,2,0,3,3,1
24,0,1,0,0,0,1,0,1,1,5,2,0,3,5,2
25,1,0,1,0,1,1,0,1,3,4,4,0,4,5,2
29,4,1,1,0,1,0,0,1,4,3,4,1,2,5,2
35,4,1,1,1,0,1,0,1,2,1,3,0,3,2,0
26,1,0,1,0,1,1,1,1,5,5,1,0,1,2,1
24,6,1,0,0,0,0,0,0,2,2,2,0,3,3,0
28,3,1,1,0,0,0,0,1,2,4,3,0,2,5,1
29,3,1,0,0,1,1,1,0,3,3,4,1,4,4,0
42,6,0,1,1,1,1,0,1,1,1,5,1,4,5,2
32,1,0,1,1,1,1,1,0,4,1,5,1,3,3,1
26,2,1,1,0,1,1,0,1,2,4,5,1,4,4,1
45,6,0,1,1,1,1,1,0,5,1,5,1,5,5,2
24,4,0,1,0,1,1,1,0,3,1,5,0,4,3,1
26,2,1,0,0,1,1,0,1,2,4,3,0,5,3,2
24,3,1,0,0,0,0,0,1,5,1,3,1,1,3,2
27,3,0,0,0,1,0,0,1,3,5,5,1,1,4,1
25,2,0,1,0,1,1,1,0,1,1,5,1,5,4,1
21,4,1,0,0,1,1,1,0,3,4,3,0,3,2,1
25,5,1,0,0,1,0,0,1,3,5,3,0,3,4,1
24,1,1,1,0,0,0,0,0,3,4,2,0,2,3,1
26,3,1,0,0,1,0,0,1,5,3,3,0,1,2,1
26,2,0,0,0,1,1,1,0,3,3,3,1,4,4,2
29,3,0,0,1,1,0,0,1,4,5,4,1,2,4,2
27,1,1,0,0,0,0,0,1,3,4,2,1,1,4,2
27,2,1,0,0,0,0,1,1,2,1,2,1,1,5,0
23,5,0,1,0,1,1,1,1,3,4,4,0,2,3,1
24,3,1,0,0,1,1,0,1,3,5,4,1,2,3,1
25,1,0,1,0,1,1,1,0,3,4,4,1,3,4,1
52,0,1,1,1,1,1,1,0,4,4,4,1,5,3,0
23,0,0,0,0,1,0,0,1,4,4,4,1,1,4,2
22,1,1,0,0,0,0,0,1,4,4,2,0,2,2,1
28,3,0,1,0,1,1,1,0,3,3,5,0,3,4,0
53,2,0,1,1,1,1,1,0,2,3,4,0,4,3,1
42,6,0,1,1,1,1,0,1,1,1,5,1,4,5,2
27,0,0,1,1,1,1,0,1,2,4,3,1,2,3,2
25,4,1,1,0,0,0,0,1,4,5,3,0,2,3,2
52,0,1,1,1,1,1,1,0,4,4,4,1,5,3,0
25,4,0,1,0,1,1,1,0,1,1,5,1,5,4,1
27,6,0,1,1,1,1,0,1,1,1,5,1,4,5,2
29,1,0,1,1,1,1,0,1,2,3,3,1,4,5,2
22,6,1,0,0,0,0,0,0,3,3,3,0,3,3,0
28,1,0,1,0,1,1,0,1,3,2,4,0,3,5,2
26,4,1,0,0,1,1,1,1,3,4,4,1,4,5,2
26,1,1,0,0,1,0,1,1,3,3,3,1,4,3,1
29,2,0,2,1,1,0,0,1,5,3,5,1,1,3,0
30,3,1,1,0,0,0,0,1,2,4,3,0,2,5,1
33,1,0,1,1,1,1,1,0,4,1,5,1,3,3,1
54,0,1,1,1,1,1,1,0,4,4,4,1,5,3,0
25,4,1,1,0,1,1,0,1,4,4,4,0,4,3,1
25,4,0,0,1,1,0,0,1,5,3,5,1,1,3,0
24,6,0,0,0,1,1,1,0,3,3,4,0,2,3,0
25,0,0,0,0,1,0,0,1,4,4,3,0,3,3,1
36,1,0,0,0,0,1,0,1,3,4,3,0,3,4,1
26,5,1,1,0,0,1,0,1,3,3,5,1,4,2,2
45,6,0,1,1,1,1,1,0,5,1,5,1,5,5,2
24,6,1,0,0,0,0,0,0,2,2,2,0,3,3,0
53,2,0,1,1,1,1,1,0,3,3,4,0,5,3,0
26,1,0,1,0,1,1,0,1,3,4,4,0,4,5,2
25,4,1,1,0,0,0,0,1,4,5,3,0,2,3,2
40,2,1,0,0,1,1,1,0,3,3,3,0,3,5,2
24,1,1,1,0,0,0,0,0,3,4,2,0,2,3,1
25,1,1,0,0,1,1,1,1,2,4,3,0,2,4,1
26,5,0,0,0,1,1,1,0,3,2,4,0,4,3,1
27,1,0,1,0,1,1,0,1,4,4,4,0,4,4,2
25,1,1,0,0,1,1,1,0,4,3,4,0,3,4,2
29,0,1,0,0,1,1,1,0,1,2,3,1,5,3,2
28,1,1,0,0,0,0,1,1,3,3,4,0,3,3,2
25,5,1,0,0,1,1,1,0,4,3,2,0,3,3,1
24,0,1,0,0,0,1,0,1,1,5,2,0,3,5,2
44,6,0,0,1,0,0,0,1,4,1,3,0,4,3,0
25,4,1,1,0,1,0,0,1,4,3,4,1,2,5,2
44,4,1,1,1,0,1,0,1,2,1,3,0,3,2,0
29,1,0,1,0,1,1,1,1,5,5,1,0,1,2,1
41,6,0,0,1,1,1,1,1,3,2,4,1,3,4,0
30,3,1,1,0,0,0,0,1,2,4,3,0,2,5,1
30,3,1,0,0,1,1,1,0,3,3,4,1,4,4,0
26,3,0,1,0,1,1,1,0,3,3,5,0,3,4,0
53,2,0,1,1,1,1,1,0,2,3,4,0,4,3,1
42,6,0,1,1,1,1,0,1,1,1,5,1,4,5,2
27,0,0,1,1,1,1,0,1,2,4,3,1,2,3,2
25,0,0,1,0,1,1,0,1,4,4,4,0,4,4,2
28,2,0,1,0,1,1,1,0,3,1,5,0,4,3,1
25,2,1,0,0,1,1,0,1,2,4,3,0,5,3,2
29,3,1,0,0,0,0,0,1,5,1,3,1,1,3,2
26,3,0,0,0,1,0,0,1,3,5,5,1,1,4,1
25,2,0,1,0,1,1,1,0,1,1,5,1,5,4,1
22,4,1,0,0,1,1,1,0,3,4,3,0,3,2,1
25,5,1,0,0,1,0,0,1,3,5,3,0,3,4,1
24,1,1,1,0,0,0,0,0,3,4,2,0,2,3,1
29,3,1,0,0,1,0,0,1,5,3,3,0,1,2,1
26,2,0,0,0,1,1,1,0,3,3,3,1,4,4,2
28,3,0,0,1,1,0,0,1,4,5,4,1,2,4,2
28,1,1,0,0,0,0,0,1,3,4,2,1,1,4,2
27,2,1,0,0,0,0,1,1,2,1,2,1,1,5,0
23,5,0,1,0,1,1,1,1,3,4,4,0,2,3,1
24,3,1,0,0,1,1,0,1,3,5,4,1,2,3,1
25,1,0,1,0,1,1,1,0,3,4,4,1,3,4,1
57,0,1,1,1,1,1,1,0,4,4,4,1,5,3,0
24,0,0,0,0,1,0,0,1,4,4,4,1,1,4,2
22,1,1,0,0,0,0,0,1,4,4,2,0,2,2,1
42,6,0,1,1,1,1,0,1,1,1,5,1,4,5,2
32,1,0,1,1,1,1,1,0,4,1,5,1,3,3,1
26,2,1,1,0,1,1,0,1,2,4,5,1,4,4,1
36,6,0,1,1,1,1,1,0,4,3,3,0,1,1,1
25,3,0,0,0,1,0,0,1,4,3,3,1,3,1,1
54,0,1,1,1,1,1,1,0,4,4,4,1,5,3,0
25,4,0,1,0,1,1,1,0,1,1,5,1,5,4,1
42,6,0,1,1,1,1,0,1,1,1,5,1,4,5,2
29,1,0,1,1,1,1,0,1,2,3,3,1,4,5,2
23,6,1,0,0,0,0,0,0,3,3,3,0,3,3,0
26,1,0,1,0,1,1,0,1,3,2,4,0,3,5,2
27,4,1,0,0,1,1,1,1,3,4,4,1,4,5,2
26,1,1,0,0,1,0,1,1,3,3,3,1,4,3,1
24,2,0,0,1,1,0,0,1,5,3,5,1,1,3,0
28,3,1,1,0,0,0,0,1,2,4,3,0,2,5,1
32,1,0,1,1,1,1,1,0,4,1,5,1,3,3,1
52,0,1,1,1,1,1,1,0,4,4,4,1,5,3,0
22,4,1,1,0,1,1,0,1,4,4,4,0,4,3,1
25,4,0,0,1,1,0,0,1,5,3,5,1,1,3,0
23,6,0,0,0,1,1,1,0,3,3,4,0,2,3,0
