age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome
55,7,0,1,0,8110,0,0,2,5,8,349,1,0,0,3
49,7,0,1,0,8019,1,1,2,5,8,272,1,0,0,3
55,7,0,1,1,8020,1,0,2,5,8,208,1,0,0,3
45,0,2,1,0,8225,1,0,2,5,8,193,1,0,0,3
47,7,0,1,0,8183,0,0,2,5,8,212,1,0,0,3
42,9,2,1,0,8709,1,0,2,5,8,20,1,0,0,3
59,0,1,1,0,10362,1,0,2,5,8,1042,1,0,0,3
46,6,1,2,0,8156,1,1,2,5,8,246,1,0,0,3
51,1,1,0,0,8192,1,0,2,5,8,529,2,0,0,3
56,0,1,1,0,8064,0,0,2,5,8,1467,1,0,0,3
41,9,1,1,0,9289,1,0,2,5,8,1389,1,0,0,3
46,4,0,1,0,8035,1,1,2,5,8,188,2,0,0,3
57,5,1,1,0,8505,1,0,2,5,8,180,2,0,0,3
42,4,2,1,0,8069,0,0,2,5,8,48,1,0,0,3
30,9,1,1,0,8171,1,1,2,5,8,213,2,0,0,3
60,0,1,1,0,8309,1,0,2,5,8,583,1,0,0,3
60,1,1,3,0,8073,1,0,2,5,8,221,1,0,0,3
57,2,0,1,0,7982,0,0,2,5,8,173,1,0,0,3
36,4,1,2,0,8120,1,1,2,5,8,426,1,0,0,3
55,1,1,1,0,8402,0,0,2,5,8,287,1,0,0,3
60,5,1,2,0,8100,1,0,2,5,8,101,1,0,0,3
39,9,1,1,0,8019,1,0,2,5,8,203,1,0,0,3
46,4,1,2,0,8248,1,0,2,5,8,197,1,0,0,3
44,1,1,1,0,7345,1,0,2,5,8,257,1,0,0,3
53,1,1,0,0,8109,0,0,2,5,8,124,1,0,0,3
52,1,1,0,0,8147,1,0,2,5,8,229,1,0,0,3
59,1,1,0,0,8198,1,0,2,5,8,55,3,0,0,3
27,9,2,2,0,8019,1,0,2,5,8,400,1,0,0,3
44,1,1,1,0,8073,1,0,2,5,8,197,1,0,0,3
47,9,1,2,0,8170,1,0,2,5,8,190,1,0,0,3
34,0,1,1,0,8080,0,1,2,5,8,21,1,0,0,3
59,5,2,1,0,8049,1,0,2,5,8,514,1,0,0,3
45,4,1,2,0,8542,1,0,2,5,8,849,2,0,0,3
29,7,0,1,0,8050,1,0,2,5,8,194,1,0,0,3
46,9,0,1,0,8098,0,0,2,5,8,144,1,0,0,3
56,6,1,0,0,7985,1,1,2,5,8,212,2,0,0,3
36,1,1,0,0,8467,1,0,2,5,8,286,1,0,0,3
59,5,0,0,0,8100,1,0,2,5,8,107,1,0,0,3
44,1,1,1,0,8163,1,0,2,5,8,247,2,0,0,3
41,0,1,1,0,8370,1,0,2,5,8,518,1,0,0,3
33,4,2,2,0,7952,1,0,2,5,8,364,1,0,0,3
59,4,0,2,0,8281,0,0,2,5,8,178,1,0,0,3
57,9,1,0,0,8019,0,0,2,5,8,98,1,0,0,3
56,9,0,3,0,8075,1,0,2,5,8,439,1,0,0,3
51,1,1,1,0,8045,1,0,2,5,8,79,1,0,0,3
34,0,1,3,0,8022,1,0,2,5,8,120,3,0,0,3
43,7,1,1,0,8060,1,1,2,5,8,127,2,0,0,3
52,9,1,2,0,8026,0,1,2,5,8,175,1,0,0,3
33,9,2,1,0,8124,1,0,2,5,8,262,2,0,0,3
29,0,2,1,0,8837,1,1,2,5,8,61,1,0,0,3
34,7,1,1,0,8003,1,1,2,5,8,78,1,0,0,3
31,1,1,1,0,8019,1,0,2,5,8,143,1,0,0,3
55,7,1,1,0,10495,1,0,2,5,8,579,1,0,0,3
55,4,1,3,0,9204,0,0,2,5,8,677,1,0,0,3
32,0,2,1,0,8236,1,0,2,5,8,345,1,0,0,3
38,9,2,1,0,9704,1,0,2,5,8,185,1,0,0,3
55,0,2,1,0,8821,1,1,2,5,8,100,2,0,0,3
28,10,2,2,0,8019,1,0,2,5,8,125,2,0,0,3
23,1,1,1,0,8113,1,0,2,5,8,193,1,0,0,3
32,9,2,1,0,8019,1,0,2,5,8,136,1,0,0,3
43,7,2,3,0,8019,0,0,2,5,8,73,1,0,0,3
32,1,1,1,0,8536,1,0,2,5,8,528,1,0,0,3
46,1,1,1,0,8284,1,0,2,5,8,541,1,0,0,3
53,3,0,0,0,8966,1,0,2,5,8,163,1,0,0,3
34,6,2,1,0,8022,1,0,2,5,8,301,1,0,0,3
57,10,1,2,0,8061,0,0,2,5,8,46,1,0,0,3
37,1,1,1,0,8056,1,0,2,5,8,204,1,0,0,3
59,1,1,1,0,8076,1,0,2,5,8,98,1,0,0,3
33,7,1,1,0,8041,1,0,2,5,8,71,1,0,0,3
56,1,0,0,0,8027,1,0,2,5,8,157,2,0,0,3
48,10,1,1,0,8312,1,0,2,5,8,243,1,0,0,3
43,7,1,0,0,8022,1,0,2,5,8,186,2,0,0,3
54,1,1,0,0,8367,1,0,2,5,8,579,2,0,0,3
51,1,1,3,0,8000,1,0,2,5,8,163,2,0,0,3
26,8,2,1,0,8019,1,0,2,5,8,610,2,0,0,3
40,4,1,2,0,8015,1,0,2,5,8,2033,1,0,0,3
39,4,1,1,0,8037,1,0,2,5,8,85,1,0,0,3
50,9,1,0,0,8158,0,0,2,5,8,114,2,0,0,3
41,7,1,1,0,8019,1,0,2,5,8,114,2,0,0,3
51,1,1,3,0,9902,1,0,2,5,8,57,1,0,0,3
60,5,0,1,0,8235,1,0,2,5,8,238,1,0,0,3
52,1,1,1,0,8801,1,0,2,5,8,93,3,0,0,3
48,1,1,1,0,8923,1,0,2,5,8,128,2,0,0,3
48,7,1,3,0,9724,1,0,2,5,8,107,1,0,0,3
39,9,2,2,0,8066,1,0,2,5,8,181,1,0,0,3
47,7,2,1,0,8195,1,0,2,5,8,303,2,0,0,3
40,1,1,1,0,9244,1,0,2,5,8,558,5,0,0,3
45,9,1,1,0,8105,1,0,2,5,8,270,1,0,0,3
26,0,2,1,0,8101,1,0,2,5,8,228,1,0,0,3
52,4,1,2,0,8290,1,0,2,5,8,99,1,0,0,3
54,9,1,1,0,9397,1,0,2,5,8,240,1,0,0,3
54,0,1,2,0,8203,0,0,2,5,8,673,2,0,0,3
50,1,1,0,0,8019,0,0,2,5,8,233,3,0,0,3
35,1,1,1,0,8019,1,0,2,5,8,1056,1,0,0,3
44,7,1,1,0,9376,1,1,2,5,8,250,1,0,0,3
53,2,1,3,0,8038,1,0,2,5,8,252,1,0,0,3
35,5,2,0,0,8453,0,0,2,5,8,138,1,0,0,3
60,0,0,1,0,8111,1,0,2,5,8,130,1,0,0,3
53,0,0,1,0,9170,1,0,2,5,8,412,1,0,0,3
48,10,1,1,0,8060,1,0,2,5,8,179,2,0,0,3
34,9,1,1,0,8070,1,0,2,5,8,19,2,0,0,3
54,7,1,1,0,8233,1,0,2,5,8,458,2,0,0,3
51,4,1,1,0,9180,1,0,2,5,8,717,1,0,0,3
31,7,1,2,0,8056,1,0,2,5,8,313,1,0,0,3
35,9,0,1,0,8806,1,0,2,5,8,683,2,0,0,3
35,7,1,1,0,8078,1,0,2,5,8,1077,1,0,0,3
38,9,1,1,0,8272,1,0,2,5,8,416,1,0,0,3
36,0,1,2,0,8230,1,0,2,5,8,146,2,0,0,3
58,5,1,0,0,8254,1,0,2,5,8,167,1,0,0,3
40,7,0,3,0,12403,1,0,2,5,8,315,1,0,0,3
54,4,1,1,0,12099,0,0,2,5,8,140,1,0,0,3
34,1,2,1,0,8072,1,1,2,5,8,346,1,0,0,3
31,4,2,2,0,8019,1,0,2,5,8,562,1,0,0,3
51,5,1,1,0,10146,1,0,2,5,8,172,1,0,0,3
33,4,1,2,0,8396,1,0,2,5,8,217,1,0,0,3
55,4,1,2,0,8092,1,0,2,5,8,142,2,0,0,3
42,0,1,1,0,8464,1,0,2,5,8,67,1,0,0,3
34,1,1,1,0,8262,1,0,2,5,8,291,1,0,0,3
33,1,2,1,0,8326,1,0,2,5,8,309,2,0,0,3
38,7,1,1,0,8174,1,0,2,5,8,248,1,0,0,3
50,9,0,2,0,8192,0,1,2,5,8,98,1,0,0,3
43,4,1,2,0,8419,1,0,2,5,8,256,1,0,0,3
61,1,0,0,0,9447,1,0,2,5,8,82,2,0,0,3
47,0,1,1,0,8238,1,0,2,5,8,577,1,0,0,3
48,6,1,2,0,8026,1,0,2,5,8,286,1,0,0,3
44,1,1,1,0,8594,1,0,2,5,8,477,1,0,0,3
35,8,2,3,0,8317,1,0,2,5,8,611,2,0,0,3
35,7,1,1,0,8019,1,0,2,5,8,471,1,0,0,3
50,7,1,1,0,13718,1,0,2,5,8,381,2,0,0,3
41,4,1,2,0,8195,1,1,2,5,8,42,1,0,0,3
41,4,1,2,0,8536,1,0,2,5,8,251,1,0,0,3
39,7,2,3,0,8276,1,0,2,5,8,408,1,0,0,3
42,5,1,1,0,8075,1,0,2,5,8,215,1,0,0,3
38,1,1,1,0,7629,1,0,2,5,8,287,1,0,0,3
53,5,1,1,0,8349,1,0,2,5,8,216,2,0,0,3
59,3,0,0,0,8214,0,0,2,5,8,366,2,0,0,3
36,7,1,1,0,8320,1,0,2,5,8,210,1,0,0,3
54,1,1,0,0,7978,1,0,2,5,8,288,1,0,0,3
40,9,1,2,0,8502,1,0,2,5,8,168,1,0,0,3
47,11,1,3,0,8047,0,0,2,5,8,338,2,0,0,3
53,10,1,3,0,8032,0,0,2,5,8,410,3,0,0,3
46,3,1,0,0,8984,0,0,2,5,8,177,1,0,0,3
39,4,1,2,0,8397,1,1,2,5,8,127,2,0,0,3
40,10,1,1,0,8238,1,0,2,5,8,357,1,0,0,3
28,1,1,0,0,8343,1,0,2,5,8,175,1,0,0,3
35,2,0,1,0,7950,1,0,2,5,8,300,1,0,0,3
55,5,1,1,0,8019,0,1,2,5,8,136,1,0,0,3
43,9,0,3,0,8224,1,0,2,5,8,1419,1,0,0,3
48,1,1,0,0,8297,1,0,2,5,8,125,2,0,0,3
58,4,1,3,0,9084,1,0,2,5,8,213,3,0,0,3
33,4,2,2,0,8053,1,0,2,5,8,27,1,0,0,3
36,1,1,3,0,9052,0,0,2,5,8,238,2,0,0,3
53,7,0,1,0,9486,1,0,2,5,8,124,1,0,0,3
47,1,1,0,0,8007,1,0,2,5,8,18,1,0,0,3
31,7,1,1,0,8407,1,0,2,5,8,730,2,0,0,3
57,2,1,1,0,8313,1,0,2,5,8,746,2,0,0,3
53,1,1,3,0,9846,0,0,2,5,8,121,1,0,0,3
55,1,1,0,0,8646,1,0,2,5,8,247,1,0,0,3
45,1,1,0,0,8044,1,0,2,5,8,40,1,0,0,3
53,0,0,1,0,8334,1,0,2,5,8,181,2,0,0,3
37,1,1,0,0,8019,1,0,2,5,8,79,1,0,0,3
44,0,0,1,0,8085,1,0,2,5,8,206,1,0,0,3
49,1,0,0,0,8010,1,1,2,5,8,389,1,0,0,3
46,9,1,1,0,8368,1,1,2,5,8,127,1,0,0,3
43,2,1,3,0,8119,1,0,2,5,8,702,1,0,0,3
38,0,1,1,0,8019,0,0,2,5,8,151,1,0,0,3
43,9,1,1,0,8453,1,0,2,5,8,117,1,0,0,3
49,4,1,2,0,11256,1,0,2,5,8,232,3,0,0,3
42,4,1,3,0,8294,0,0,2,5,8,408,2,0,0,3
22,1,2,1,0,8019,1,0,2,5,8,179,2,0,0,3
40,4,1,2,0,8226,1,0,2,5,8,39,1,0,0,3
39,1,1,1,0,8502,1,0,2,5,8,282,1,0,0,3
51,7,1,1,0,10267,1,0,2,5,8,714,2,0,0,3
49,0,1,1,0,8447,1,0,2,5,8,50,1,0,0,3
53,1,1,1,0,8019,1,1,2,5,8,181,1,0,0,3
34,7,2,1,0,8019,1,0,2,5,8,142,1,0,0,3
33,9,0,1,0,8159,1,0,2,5,8,227,1,0,0,3
50,4,2,2,0,8316,1,0,2,5,8,119,1,0,0,3
39,1,1,0,0,8298,1,0,2,5,8,361,1,0,0,3
59,2,0,1,0,8920,1,0,2,5,8,73,3,0,0,3
30,9,2,1,0,10592,1,0,2,5,8,67,2,0,0,3
36,7,1,1,0,8162,1,1,2,5,8,350,1,0,0,3
40,1,1,1,0,8494,1,0,2,5,8,332,2,0,0,3
53,1,1,1,0,8089,1,0,2,5,8,611,2,0,0,3
34,4,2,2,0,8337,1,0,2,5,8,113,2,0,0,3
37,9,1,1,0,8294,1,0,2,5,8,132,1,0,0,3
42,4,0,2,0,8761,1,0,2,5,8,58,3,0,0,3
41,2,1,0,0,8255,1,0,2,5,8,151,1,0,0,3
30,8,2,2,0,8044,1,0,2,5,8,89,2,0,0,3
37,4,2,2,0,8619,1,0,2,5,8,152,1,0,0,3
39,0,0,1,0,7670,1,0,2,5,8,611,2,0,0,3
41,1,1,0,0,8202,1,1,2,5,8,110,2,0,0,3
40,1,1,0,0,8019,1,0,2,5,8,463,1,0,0,3
42,4,2,2,0,8019,1,1,2,5,8,562,2,0,0,3
40,1,0,0,0,8019,1,0,2,5,8,962,1,0,0,3
57,9,1,1,0,9097,1,0,2,5,8,10,4,0,0,3
56,2,0,1,0,8174,0,0,2,5,8,118,3,0,0,3
37,0,1,1,0,8209,1,0,2,5,8,92,2,0,0,3
59,5,1,1,0,8338,1,0,2,5,8,143,3,0,0,3
39,7,0,1,0,7834,1,0,2,5,8,189,3,0,0,3
49,7,1,1,0,8066,0,0,2,5,8,234,2,0,0,3
38,7,2,1,0,8589,1,0,2,5,8,75,2,0,0,3
36,6,1,2,0,8038,0,0,2,5,8,189,2,0,0,3
50,1,1,0,0,8080,1,0,2,5,8,621,3,0,0,3
41,0,1,1,0,7957,1,1,2,5,8,55,2,0,0,3
54,9,1,2,0,8277,0,0,2,5,8,310,4,0,0,3
58,1,1,0,0,8095,1,0,2,5,8,156,2,0,0,3
30,1,2,1,0,8019,1,0,2,5,8,5,2,0,0,3
33,0,2,1,0,8371,1,0,2,5,8,225,2,0,0,3
47,0,1,1,0,8387,1,0,2,5,8,125,2,0,0,3
50,9,2,2,0,8358,1,0,2,5,8,2,3,0,0,3
32,1,1,1,0,9350,1,0,2,5,8,286,2,0,0,3
40,6,1,1,0,8691,1,0,2,5,8,164,2,0,0,3
37,4,1,2,0,8077,1,0,2,5,8,98,2,0,0,3
54,9,2,3,0,8466,1,0,2,5,8,742,2,0,0,3
24,8,2,1,0,8442,1,0,2,5,8,226,3,0,0,3
54,4,1,2,0,8019,0,0,2,5,8,120,2,0,0,3
34,9,1,1,0,8038,1,0,2,5,8,362,4,0,0,3
56,9,0,0,0,8032,1,0,2,5,8,357,2,0,0,3
31,1,2,1,0,8022,1,0,2,5,8,200,2,0,0,3
24,8,2,1,0,8101,1,0,2,5,8,204,2,0,0,3
42,1,0,0,0,8047,1,0,2,5,8,126,3,0,0,3
57,9,1,1,0,8811,1,0,2,5,8,65,2,0,0,3
42,1,1,3,0,8427,1,0,2,5,8,107,2,0,0,3
51,0,1,1,0,8550,1,0,2,5,8,267,2,0,0,3
57,5,1,1,0,8230,1,0,2,5,8,248,2,0,0,3
36,7,2,1,0,8081,1,0,2,5,8,215,2,0,0,3
53,7,1,3,0,8276,1,0,2,5,8,209,2,0,0,3
50,9,1,1,0,9253,1,0,2,5,8,205,2,0,0,3
54,4,1,2,0,8332,1,0,2,5,8,83,2,0,0,3
55,1,1,1,0,8108,1,0,2,5,8,106,3,0,0,3
44,1,1,1,0,8148,1,1,2,5,8,189,2,0,0,3
43,4,1,3,0,8019,1,0,2,5,8,105,2,0,0,3
56,0,1,1,0,8372,1,0,2,5,8,106,2,0,0,3
54,9,1,3,0,8870,1,0,2,5,8,108,2,0,0,3
55,7,0,0,0,8115,1,1,2,5,8,311,2,0,0,3
37,7,0,1,0,8417,1,1,2,5,8,214,2,0,0,3
33,0,2,2,0,8212,0,0,2,5,8,132,2,0,0,3
46,0,1,1,0,7661,1,0,2,5,8,358,2,0,0,3
36,1,1,1,0,8558,1,1,2,5,8,453,2,0,0,3
51,9,2,1,0,8019,1,0,2,5,8,364,2,0,0,3
40,5,2,0,0,8019,0,0,2,5,8,136,2,0,0,3
42,1,1,1,0,8509,1,0,2,5,8,386,2,0,0,3
51,1,1,1,0,8019,1,0,2,5,8,173,2,0,0,3
49,1,1,3,0,8422,1,0,2,5,8,241,2,0,0,3
48,4,1,1,0,8180,1,0,2,5,8,224,3,0,0,3
32,9,0,2,0,10577,0,0,2,5,8,148,2,0,0,3
31,0,2,1,0,8117,1,0,2,5,8,196,2,0,0,3
55,4,2,2,0,8134,0,0,2,5,8,111,4,0,0,3
40,1,2,1,0,8455,1,0,2,5,8,231,3,0,0,3
47,9,1,2,0,8850,1,0,2,5,8,316,3,0,0,3
57,9,1,3,0,8225,1,0,2,5,8,216,3,0,0,3
41,1,1,1,0,8309,1,0,2,5,8,240,2,0,0,3
48,1,1,1,0,8020,0,0,2,5,8,669,3,0,0,3
42,1,1,3,0,8076,1,0,2,5,8,425,2,0,0,3
30,1,2,1,0,7562,1,0,2,5,8,143,2,0,0,3
58,4,2,2,0,9406,1,0,2,5,8,174,5,0,0,3
45,4,0,2,0,32617,1,0,2,5,8,313,3,0,0,3
49,1,1,1,0,8049,1,0,2,5,8,135,4,0,0,3
42,0,2,1,0,9041,1,0,2,5,8,146,2,0,0,3
53,9,1,1,0,8075,1,1,2,5,8,152,2,0,0,3
51,0,2,1,1,8017,0,0,2,5,8,402,3,0,0,3
32,7,2,1,0,8140,1,0,2,5,8,213,2,0,0,3
41,1,2,1,0,8861,1,0,2,5,8,144,3,0,0,3
43,4,0,1,0,8712,1,0,2,5,8,124,3,0,0,3
40,1,0,1,0,7686,1,0,2,5,8,183,2,0,0,3
50,1,1,0,0,9552,1,0,2,5,8,325,2,0,0,3
34,4,1,2,0,8065,1,0,2,5,8,39,4,0,0,3
53,7,1,3,0,8037,0,0,2,5,8,503,2,0,0,3
45,9,1,1,0,8063,1,0,2,5,8,95,4,0,0,3
39,1,1,0,0,7919,1,0,2,5,8,680,2,0,0,3
44,7,1,2,0,8529,1,0,2,5,8,421,4,0,0,3
55,4,1,2,0,8704,1,0,2,5,8,174,3,0,0,3
46,4,2,2,0,8206,1,0,2,5,8,113,2,0,0,3
45,1,1,1,0,8085,1,0,2,5,8,808,2,0,0,3
34,0,1,1,0,8579,1,0,2,5,8,198,3,0,0,3
36,1,1,1,0,8019,1,0,2,5,8,195,2,0,0,3
59,11,0,3,0,8046,0,0,2,5,8,347,3,0,0,3
31,0,2,1,0,8031,1,0,2,5,8,208,2,0,0,3
44,1,2,1,0,8053,1,0,2,5,8,404,4,0,0,3
33,2,2,2,0,9087,1,0,2,5,8,396,2,0,0,3
40,1,1,1,0,8230,1,0,2,5,8,216,4,0,0,3
46,0,2,2,0,8396,1,0,2,5,8,98,2,0,0,3
48,4,1,2,0,8282,1,0,2,5,8,350,2,0,0,3
42,7,1,1,0,9282,1,0,2,6,8,114,2,0,0,3
27,7,1,1,0,8027,1,0,2,6,8,88,3,0,0,3
48,0,1,1,0,8145,1,1,2,6,8,379,2,0,0,3
59,0,1,1,0,8249,1,0,2,6,8,190,3,0,0,3
46,9,1,2,0,8860,1,0,2,6,8,158,1,0,0,3
38,0,0,1,0,8327,1,0,2,6,8,102,1,0,0,3
43,4,0,2,0,8020,1,0,2,6,8,306,1,0,0,3
38,0,0,2,0,8105,1,0,2,6,8,218,1,0,0,3
23,8,2,1,0,8176,1,0,2,6,8,54,1,0,0,3
34,7,1,1,0,8041,1,0,2,6,8,344,1,0,0,3
38,0,1,1,0,8065,1,1,2,6,8,195,1,0,0,3
37,1,1,1,0,9312,0,0,2,6,8,652,1,0,0,3
25,0,2,1,0,8141,1,0,2,6,8,286,1,0,0,3
48,1,1,3,0,8150,1,0,2,6,8,189,1,0,0,3
49,1,2,1,0,8162,1,0,2,6,8,83,1,0,0,3
38,0,2,1,0,8412,0,0,2,6,8,184,2,0,0,3
43,1,1,0,0,8117,1,0,2,6,8,235,1,0,0,3
33,4,1,2,0,8019,1,0,2,6,8,290,1,0,0,3
55,1,1,1,0,8243,1,0,2,6,8,232,1,0,0,3
38,1,1,1,0,8776,1,0,2,6,8,133,1,0,0,3
49,7,1,1,0,8264,1,1,2,6,8,318,1,0,0,3
40,4,1,1,0,16505,0,0,2,6,8,260,3,0,0,3
43,0,1,3,0,8369,0,0,2,6,8,437,1,0,0,3
38,1,1,1,0,8039,1,0,2,6,8,402,1,0,0,3
58,7,1,1,0,9686,1,1,2,6,8,85,1,0,0,3
57,9,1,3,0,8364,1,0,2,6,8,125,1,0,0,3
32,10,1,1,0,8029,1,0,2,6,8,501,4,0,0,3
56,4,1,2,0,8849,1,1,2,6,8,1201,1,0,0,3
58,1,0,3,0,8048,1,0,2,6,8,253,1,0,0,3
60,5,0,1,0,8564,1,0,2,6,8,1030,1,0,0,3
37,9,1,2,0,16749,1,0,2,6,8,149,1,0,0,3
46,9,0,2,0,8496,1,0,2,6,8,114,1,0,0,3
27,0,1,1,0,8023,1,0,2,6,8,243,1,0,0,3
43,1,1,1,0,9224,1,0,2,6,8,769,2,0,0,3
32,9,2,1,0,8019,1,1,2,6,8,135,3,0,0,3
40,0,2,1,0,8282,1,0,2,6,8,231,1,0,0,3
38,0,1,1,0,8020,0,0,2,6,8,76,1,0,0,3
34,1,1,1,0,8302,0,1,2,6,8,199,1,0,0,3
47,1,1,0,0,8225,1,0,2,6,8,152,1,0,0,3
42,3,1,0,0,8036,1,0,2,6,8,124,1,0,0,3
48,9,1,1,0,8160,1,1,2,6,8,424,1,0,0,3
29,6,2,2,0,8035,1,0,2,6,8,43,1,0,0,3
50,7,1,1,0,8225,1,0,2,6,8,154,1,0,0,3
52,9,1,3,0,8026,0,0,2,6,8,203,2,0,0,3
50,4,1,2,0,8019,0,0,2,6,8,326,1,0,0,3
58,5,1,2,0,8019,0,0,2,6,8,393,1,0,0,3
46,1,0,0,0,9946,1,0,2,6,8,241,3,0,0,3
38,9,1,1,0,8303,1,0,2,6,8,483,1,0,0,3
46,1,1,1,0,9679,1,0,2,6,8,259,1,0,0,3
32,7,2,1,0,8425,1,0,2,6,8,227,1,0,0,3
51,1,1,0,0,8249,1,0,2,6,8,673,1,0,0,3
39,0,2,1,0,7994,1,0,2,6,8,576,1,0,0,3
48,0,1,1,0,8201,1,0,2,6,8,180,2,0,0,3
36,2,1,2,0,9188,1,0,2,6,8,168,2,0,0,3
34,0,0,1,0,8086,1,0,2,6,8,90,1,0,0,3
40,9,1,1,0,8096,0,0,2,6,8,505,1,0,0,3
43,10,1,1,0,8019,1,0,2,6,8,245,1,0,0,3
52,1,0,0,0,8074,1,1,2,6,8,186,1,0,0,3
33,9,1,1,1,8091,1,0,2,6,8,623,1,0,0,3
49,4,2,2,0,8182,1,0,2,6,8,496,3,0,0,3
