age,workclass,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country
44,3,12,14,0,3,4,4,0,0,0,40,38
41,6,8,11,2,2,0,4,1,0,0,40,38
29,3,8,11,4,9,1,4,1,0,0,43,38
25,3,15,10,2,3,5,3,0,0,0,40,38
18,3,11,9,4,7,3,4,0,0,0,30,-1
47,3,14,15,2,9,5,4,0,0,1902,60,15
50,0,9,13,0,3,1,4,1,0,0,55,38
47,4,11,9,0,3,1,4,1,0,0,60,38
43,3,15,10,2,12,0,4,1,0,0,40,38
46,3,4,3,2,6,0,4,1,0,0,40,25
35,3,8,11,2,7,0,4,1,0,0,40,32
41,3,11,9,2,0,0,4,1,0,0,48,38
30,3,11,9,2,6,0,4,1,5013,0,40,38
30,3,9,13,2,11,0,4,1,2407,0,40,38
32,-1,5,4,3,-1,1,4,1,0,0,40,-1
48,3,11,9,2,13,0,4,1,0,0,40,38
42,3,10,16,2,9,0,4,1,0,0,45,38
29,3,15,10,0,12,1,4,1,0,0,58,38
36,3,11,9,2,2,0,4,1,0,0,40,38
28,3,15,10,0,0,1,4,0,0,0,40,38
53,3,11,9,2,0,5,4,0,0,0,40,38
49,4,15,10,2,3,0,4,1,0,0,50,38
25,-1,15,10,4,-1,3,4,1,0,0,40,38
19,3,15,10,4,9,3,4,1,0,0,32,38
31,3,9,13,5,11,3,2,0,0,0,40,38
29,5,9,13,2,11,0,4,1,0,0,70,38
23,3,15,10,4,6,1,4,1,0,0,40,38
79,3,15,10,2,9,2,4,1,0,0,20,38
27,3,11,9,4,7,3,4,1,0,0,40,25
40,3,7,12,2,0,0,4,1,0,0,40,38
67,-1,0,6,2,-1,0,4,1,0,0,2,38
18,3,1,7,4,7,3,4,0,0,0,22,38
31,1,5,4,2,4,0,4,1,0,0,40,38
18,3,11,9,4,11,1,4,1,0,0,30,38
52,3,9,13,2,7,0,4,1,0,0,40,4
46,3,11,9,2,7,5,4,0,0,0,40,38
59,3,11,9,2,11,0,4,1,0,0,48,38
44,3,11,9,0,2,1,4,0,14344,0,40,38
53,3,11,9,0,11,3,4,0,0,0,35,38
49,1,11,9,2,10,0,4,1,0,0,40,38
33,3,12,14,2,9,0,4,1,0,0,50,38
30,3,6,5,4,11,1,4,1,0,0,40,38
43,0,10,16,4,9,1,4,0,0,0,50,38
57,3,8,11,2,9,0,4,1,0,0,40,38
37,3,15,10,0,2,4,4,0,0,0,40,38
28,3,15,10,0,6,4,2,0,0,0,25,38
30,3,11,9,2,11,5,1,0,0,1573,35,-1
34,1,9,13,2,10,0,4,1,0,0,40,38
29,1,15,10,4,5,1,4,1,0,0,50,38
48,5,10,16,2,9,0,4,1,0,1902,60,38
37,3,15,10,2,11,0,4,1,0,0,48,38
48,3,7,12,0,3,4,4,0,0,0,40,8
32,0,11,9,4,7,3,2,1,0,0,40,38
76,3,12,14,2,3,0,4,1,0,0,40,38
44,3,9,13,2,3,0,4,1,15024,0,60,38
47,5,12,14,4,9,1,4,0,0,0,50,38
20,3,15,10,4,12,3,4,0,0,0,40,38
29,3,11,9,4,2,1,4,1,0,0,40,38
32,4,11,9,2,2,0,4,1,7688,0,40,38
17,-1,0,6,4,-1,3,4,0,34095,0,32,38
30,3,1,7,4,5,3,4,1,0,0,40,38
31,1,11,9,4,0,1,4,0,0,0,40,38
42,3,11,9,2,5,0,4,1,0,0,40,38
24,3,9,13,4,11,2,4,1,0,0,40,38
38,3,14,15,2,9,0,4,1,0,0,40,38
56,5,11,9,2,7,0,4,1,0,1887,50,1
28,3,15,10,2,11,5,4,0,4064,0,25,38
36,3,11,9,4,6,3,4,0,0,0,40,38
53,3,6,5,2,5,0,4,1,0,0,50,38
56,4,15,10,2,11,0,4,1,0,0,50,38
49,1,8,11,2,2,0,2,1,0,0,40,38
55,3,15,10,2,11,0,4,1,0,0,56,38
22,3,11,9,4,2,1,4,1,0,0,41,38
21,3,15,10,4,7,3,4,0,0,0,40,38
40,3,9,13,2,3,0,4,1,0,0,60,38
30,3,9,13,4,3,3,2,1,0,0,40,10
29,6,9,13,2,9,0,4,1,0,0,50,38
19,3,15,10,4,7,3,2,1,0,0,35,38
47,3,9,13,2,3,5,4,0,0,0,40,38
20,3,15,10,4,0,3,4,0,0,1719,28,38
31,3,7,12,2,0,0,4,1,0,0,40,38
35,-1,11,9,2,-1,0,4,1,0,0,40,38
39,3,15,10,0,2,1,4,1,0,0,40,38
28,3,7,12,4,11,1,4,0,0,0,60,38
24,3,11,9,4,7,1,4,0,0,1762,40,38
38,5,11,9,2,2,0,4,1,4386,0,35,38
37,3,9,13,2,11,0,4,1,0,0,50,38
46,3,7,12,0,12,1,2,0,0,0,36,38
38,0,12,14,2,9,0,4,1,0,0,40,19
43,5,11,9,2,2,0,4,1,0,0,60,38
27,3,8,11,2,0,5,4,0,0,0,35,38
20,3,15,10,4,11,3,4,1,0,0,20,38
49,3,15,10,2,2,0,1,1,0,0,40,38
61,4,11,9,2,2,0,4,1,0,0,40,38
27,3,15,10,4,11,3,4,0,0,0,40,38
19,3,15,10,4,7,3,4,1,0,0,30,25
45,3,8,11,4,9,1,4,0,0,1564,40,38
70,3,15,10,4,12,2,4,1,0,0,40,38
31,3,11,9,4,13,4,2,0,0,0,30,38
22,3,15,10,2,7,0,4,1,0,0,24,38
36,3,11,9,6,7,4,4,0,0,0,24,38
64,3,1,7,2,2,0,4,1,0,2179,40,38
43,-1,15,10,0,-1,1,4,0,0,0,40,38
47,1,15,10,0,0,4,4,0,0,0,38,25
34,3,11,9,4,0,1,4,0,0,0,40,38
33,3,9,13,4,3,2,1,0,0,0,40,29
21,3,11,9,4,2,3,4,1,0,0,35,38
52,-1,11,9,0,-1,1,4,1,0,0,45,38
48,3,11,9,2,2,0,4,1,0,0,46,38
23,3,9,13,4,5,1,4,1,0,0,40,38
71,5,15,10,5,11,4,2,1,0,1816,2,38
29,3,11,9,0,2,1,4,1,0,0,60,38
42,3,9,13,5,7,2,2,1,0,0,50,38
68,-1,3,2,0,-1,1,4,0,0,0,20,38
25,3,11,9,4,7,4,4,0,0,0,40,38
44,4,12,14,0,3,4,1,0,0,0,40,38
28,3,11,9,4,3,1,1,0,0,0,40,8
45,5,12,14,2,11,0,4,1,0,0,40,38
36,3,15,10,0,7,4,4,0,0,0,40,25
39,0,7,12,4,3,1,4,1,0,0,42,38
46,6,12,14,6,10,4,4,1,0,0,40,38
18,3,1,7,4,5,3,4,1,0,0,16,38
66,1,8,11,6,9,1,4,0,0,0,20,38
27,3,11,9,4,7,1,4,1,0,1980,40,38
28,6,11,9,2,10,0,4,1,0,0,40,38
51,3,15,10,2,11,0,4,1,0,1977,40,38
27,3,9,13,4,2,1,4,1,0,0,50,38
28,6,9,13,2,9,0,4,1,0,0,40,38
27,3,11,9,3,11,4,4,0,0,0,25,38
21,3,11,9,4,2,3,2,1,0,0,40,38
34,3,11,9,4,5,1,2,1,0,0,40,38
18,3,11,9,4,7,3,4,1,0,0,12,38
33,3,9,13,2,9,0,4,1,0,0,65,38
44,1,15,10,2,3,0,2,1,0,0,38,38
43,3,15,10,0,0,1,4,0,0,0,40,38
30,3,15,10,4,2,1,2,1,0,0,45,38
40,3,5,4,2,6,0,4,1,0,0,40,25
37,0,15,10,2,0,0,4,1,0,0,42,38
34,3,11,9,2,0,0,2,1,0,0,40,38
41,5,9,13,0,3,1,4,0,0,0,40,38
53,-1,9,13,0,-1,1,4,0,0,0,50,38
31,3,12,14,2,9,5,4,0,0,0,50,38
58,6,10,16,2,9,0,4,1,0,0,1,38
38,3,15,10,0,6,1,2,0,0,0,28,38
24,3,15,10,2,6,0,4,1,0,0,40,38
41,1,9,13,2,2,0,2,1,0,0,40,38
47,3,15,10,2,12,0,4,1,0,0,45,38
41,0,9,13,2,12,0,4,1,0,0,24,38
23,3,4,3,2,13,2,4,1,0,0,40,25
36,3,15,10,0,2,1,4,1,0,0,40,38
40,0,12,14,4,3,1,4,0,14084,0,55,38
35,3,12,14,2,9,2,4,1,7298,0,40,38
24,5,11,9,4,11,1,4,1,0,0,40,38
26,3,12,14,4,9,1,4,0,0,1876,40,38
19,-1,11,9,4,-1,3,4,1,0,0,40,21
51,3,9,13,2,3,0,4,1,0,0,50,38
42,1,15,10,4,9,1,4,0,0,1340,40,38
37,6,11,9,0,0,4,4,0,0,0,35,38
18,3,1,7,4,11,3,4,0,0,0,40,38
36,3,9,13,2,7,0,2,1,7298,0,36,38
35,3,11,9,0,2,1,4,1,0,0,60,38
58,4,11,9,2,11,5,4,0,15024,0,35,38
17,3,1,7,4,11,3,4,0,0,0,12,38
44,1,11,9,2,13,0,2,1,0,0,40,38
37,3,11,9,2,2,0,4,1,0,0,40,38
35,3,15,10,4,11,1,0,0,0,0,40,38
60,3,11,9,2,2,0,1,1,0,0,40,38
54,4,5,4,2,6,0,4,1,0,0,40,38
37,3,9,13,4,3,1,2,1,0,0,60,38
50,3,7,12,0,11,1,4,0,0,0,40,38
38,3,9,13,2,11,0,4,1,0,0,50,30
45,3,9,13,2,9,0,4,1,0,0,55,38
25,3,0,6,4,2,1,4,1,0,0,40,38
31,3,15,10,2,5,0,4,1,0,0,40,38
64,-1,3,2,0,-1,1,4,1,0,0,40,38
90,3,11,9,4,7,1,2,1,0,2206,40,38
54,3,11,9,2,0,0,2,1,0,0,20,38
53,1,13,1,4,6,1,4,0,0,0,35,38
18,3,11,9,4,11,3,4,0,0,0,40,38
60,-1,0,6,0,-1,1,0,0,0,0,10,38
66,5,11,9,2,4,0,4,1,1409,0,50,38
75,3,8,11,6,0,1,4,0,0,0,20,3
65,3,11,9,0,0,1,4,0,0,0,40,38
35,3,1,7,5,13,1,2,1,3674,0,40,38
41,3,11,9,0,11,4,2,0,0,0,38,38
25,3,15,10,4,0,1,4,1,0,0,42,38
33,3,15,10,0,2,2,3,0,0,0,40,38
28,3,14,15,4,9,1,4,1,0,0,55,38
59,6,11,9,2,7,0,4,1,0,0,40,38
40,6,15,10,4,0,1,4,0,0,0,38,38
41,3,9,13,2,3,0,4,1,0,0,50,19
38,1,12,14,2,3,0,4,1,0,0,70,38
23,3,11,9,4,13,3,4,1,0,0,40,38
40,3,9,13,2,9,0,4,1,0,0,40,38
41,5,11,9,2,7,5,4,0,0,0,20,38
24,6,7,12,2,10,0,4,1,0,0,50,38
20,-1,15,10,4,-1,3,4,1,0,0,20,38
38,3,15,10,0,2,1,4,1,0,1741,40,38
56,3,11,9,2,0,0,4,1,0,0,35,-1
58,3,11,9,2,0,0,4,1,0,0,45,38
32,3,11,9,4,7,1,4,0,0,0,34,38
40,3,7,12,2,12,0,4,1,0,1977,60,38
45,3,11,9,2,0,0,4,1,0,0,40,-1
41,3,14,15,2,9,5,4,0,0,0,40,38
42,3,9,13,2,0,5,2,0,0,0,40,38
59,1,0,6,6,7,4,2,0,0,0,30,38
19,1,15,10,4,0,3,4,1,0,0,40,38
58,3,15,10,4,13,1,4,1,0,0,20,38
42,5,11,9,2,4,0,1,1,0,0,40,0
20,3,11,9,4,7,3,4,0,0,0,40,38
32,3,11,9,5,7,1,4,0,0,0,30,38
45,3,8,11,6,3,1,4,0,0,0,45,38
50,3,5,4,0,2,1,4,1,0,0,40,38
36,3,9,13,0,9,3,4,0,0,0,40,38
45,3,11,9,2,11,0,4,1,0,0,60,38
17,3,1,7,4,7,3,4,1,0,0,12,38
59,3,15,10,2,11,0,4,1,4064,0,40,38
26,3,1,7,2,2,0,4,1,0,0,40,38
37,4,15,10,2,3,0,1,1,0,0,75,36
19,-1,15,10,4,-1,3,4,1,0,0,24,1
64,3,11,9,2,3,0,4,1,0,0,40,38
33,3,9,13,4,9,1,4,0,0,0,45,38
33,3,11,9,2,2,5,4,0,0,0,40,38
61,3,11,9,2,3,0,4,1,0,0,40,38
17,3,6,5,4,7,3,4,1,1055,0,24,38
50,5,12,14,2,4,0,4,1,2407,0,98,38
27,1,12,14,4,9,3,4,1,0,0,35,38
30,3,11,9,0,9,3,4,0,0,0,40,38
43,3,11,9,2,5,0,2,1,0,0,40,38
44,3,15,10,2,2,0,4,1,7298,0,40,38
35,3,15,10,4,3,1,4,0,0,0,40,38
25,3,15,10,4,12,3,4,0,0,0,40,38
24,3,15,10,2,6,5,4,0,7298,0,48,38
22,3,9,13,4,9,1,4,0,0,0,15,10
42,1,15,10,2,2,0,4,1,5178,0,40,38
34,3,7,12,0,11,4,2,0,0,0,45,38
60,3,9,13,0,9,1,4,0,0,0,42,38
21,3,11,9,4,5,3,4,1,0,0,40,38
57,0,12,14,2,11,0,4,1,15024,0,40,38
41,3,14,15,2,9,0,4,1,0,0,60,38
50,3,15,10,0,7,1,4,1,0,0,45,38
25,3,9,13,4,3,1,4,0,0,0,40,38
50,3,5,4,2,2,0,4,1,0,0,40,6
36,3,9,13,2,9,0,4,1,0,0,45,38
31,3,11,9,0,9,1,4,0,0,0,40,38
29,1,9,13,4,10,1,4,1,0,0,56,38
21,3,15,10,4,11,3,4,1,0,0,45,38
27,3,9,13,4,12,4,2,0,0,0,40,38
65,3,11,9,2,13,0,4,1,0,0,16,38
37,4,9,13,0,11,1,4,0,0,0,60,38
39,-1,12,14,2,-1,5,1,0,3464,0,40,-1
24,3,11,9,4,2,3,4,1,0,0,40,38
38,3,11,9,0,11,1,4,1,0,0,80,38
48,3,9,13,2,0,0,4,1,7688,0,40,38
21,3,15,10,4,7,1,1,0,0,0,25,38
31,3,11,9,2,13,0,4,1,0,0,45,38
55,3,11,9,2,11,0,4,1,4386,0,40,38
24,3,15,10,2,0,5,1,0,0,0,40,24
43,3,11,9,0,0,1,4,0,0,0,40,38
26,3,7,12,4,12,1,4,1,0,0,45,38
46,3,7,12,4,9,1,4,0,0,0,33,38
35,3,7,12,2,0,0,4,1,0,0,40,38
41,4,15,10,2,4,0,4,1,0,0,54,38
26,3,9,13,4,11,1,4,1,0,0,40,38
34,3,12,14,2,3,0,1,1,7298,0,35,35
19,-1,15,10,4,-1,3,2,0,0,0,25,38
36,5,9,13,0,9,1,2,0,0,0,40,38
22,3,15,10,4,11,3,4,1,0,0,15,38
24,3,15,10,4,6,1,4,1,0,0,40,38
77,5,15,10,2,11,0,4,1,0,0,40,38
22,3,4,3,2,6,2,4,0,0,0,40,25
29,3,15,10,4,12,1,4,0,0,0,40,38
62,3,11,9,6,7,1,4,0,0,0,24,38
39,5,11,9,2,3,0,4,1,0,0,40,38
43,3,15,10,2,2,0,4,1,0,1485,50,38
35,3,11,9,0,13,1,4,1,0,0,45,38
29,3,1,7,4,3,1,4,0,0,0,40,38
76,5,12,14,2,2,0,4,1,0,0,10,38
63,5,11,9,2,4,0,4,1,0,0,45,38
23,-1,8,11,4,-1,3,2,0,0,0,15,38
43,3,15,10,2,9,5,4,0,0,1887,50,38
58,5,11,9,2,5,0,4,1,0,0,40,38
66,3,11,9,4,13,1,4,1,2050,0,55,38
41,3,15,10,4,2,1,2,1,0,0,45,38
26,3,9,13,4,0,1,4,1,0,0,40,38
47,3,8,11,4,7,1,4,1,0,0,40,38
55,1,0,6,2,0,0,4,1,0,0,40,38
53,3,11,9,2,13,0,4,1,0,0,40,38
17,3,4,3,4,7,2,4,1,0,0,48,25
30,3,11,9,4,2,2,4,1,0,0,40,38
49,3,12,14,4,9,1,4,1,0,0,60,38
19,3,11,9,4,11,4,2,1,0,0,30,13
45,3,11,9,2,7,0,2,1,0,0,40,38
26,3,7,12,4,11,1,4,1,0,0,40,38
38,3,8,11,2,2,0,4,1,7298,0,40,38
36,6,11,9,2,10,0,4,1,7298,0,40,38
33,3,11,9,4,4,1,4,1,0,0,20,38
22,6,15,10,4,10,3,2,0,0,0,40,38
43,5,9,13,4,11,1,4,1,0,0,42,38
67,-1,1,7,2,-1,0,4,1,0,0,8,38
30,-1,8,11,0,-1,4,4,0,0,0,40,38
56,3,7,12,3,7,1,4,1,0,0,25,19
31,3,9,13,4,9,3,4,1,0,0,25,38
33,3,9,13,2,3,0,4,1,0,0,40,38
26,3,11,9,2,7,0,4,1,0,0,40,38
33,3,9,13,2,3,0,4,1,0,0,40,38
46,1,1,7,2,13,0,4,1,0,0,30,38
59,-1,9,13,2,-1,0,4,1,0,0,40,38
38,0,11,9,2,0,0,4,1,0,0,40,38
65,3,1,7,6,7,4,3,1,0,0,40,38
40,3,8,11,2,12,0,4,1,0,0,40,38
42,3,11,9,2,0,5,4,0,0,0,35,38
26,5,6,5,2,2,0,4,1,0,0,40,31
36,3,0,6,2,7,5,4,0,0,0,24,38
62,3,12,14,2,9,0,4,1,0,0,40,38
43,3,9,13,2,13,0,4,1,0,0,45,38
43,3,9,13,0,3,1,4,1,0,1564,45,38
22,3,11,9,3,11,1,4,1,0,0,55,38
28,3,11,9,2,2,0,4,1,0,0,40,38
56,5,15,10,2,11,0,4,1,0,0,45,38
22,3,7,12,4,11,1,4,0,0,0,15,38
57,3,9,13,0,3,1,4,0,0,0,45,38
39,3,11,9,0,11,4,4,0,0,0,40,38
26,0,15,10,4,0,4,4,0,0,0,15,38
17,3,1,7,4,7,3,4,1,0,0,10,38
40,6,8,11,2,6,0,4,1,0,0,38,38
45,3,11,9,2,6,0,2,1,0,0,40,38
44,3,11,9,4,2,1,2,1,0,0,40,38
20,1,15,10,4,0,3,4,0,0,0,10,38
33,3,11,9,2,2,5,4,0,0,0,40,38
23,3,15,10,4,11,1,4,1,0,0,40,38
46,5,12,14,0,3,1,4,1,0,0,30,38
38,3,11,9,2,11,0,4,1,0,0,50,38
54,3,11,9,0,13,1,4,1,0,0,40,38
46,3,4,3,0,2,1,4,0,0,2339,45,38
25,3,15,10,2,2,0,4,1,0,0,40,38
46,3,15,10,0,11,1,4,0,0,0,40,38
36,1,15,10,2,13,5,4,0,0,0,40,38
23,3,11,9,4,7,1,4,0,0,0,25,38
29,3,11,9,5,6,1,4,1,0,0,40,38
44,3,15,10,2,0,5,4,0,0,2415,6,38
19,3,15,10,4,0,3,4,0,0,0,16,38
19,3,11,9,4,7,2,4,0,0,0,40,38
35,3,11,9,2,7,5,4,0,0,0,40,38
27,3,9,13,4,2,1,4,1,0,0,50,38
46,5,7,12,5,2,1,4,1,0,0,40,38
34,6,9,13,2,3,0,4,1,7688,0,45,-1
34,3,11,9,4,7,1,4,0,0,0,35,38
44,3,15,10,2,12,0,4,1,0,0,40,38
45,3,15,10,0,5,4,4,0,0,0,40,38
20,-1,11,9,4,-1,2,4,0,0,0,35,38
25,3,9,13,2,3,0,4,1,0,0,55,38
52,4,9,13,2,3,0,4,1,0,0,50,38
20,3,15,10,4,5,3,4,1,0,0,40,38
28,3,15,10,4,7,1,4,0,0,0,40,38
50,6,9,13,2,10,0,4,1,0,0,40,38
34,3,8,11,0,12,1,4,0,0,0,64,38
28,3,5,4,2,5,0,3,1,0,2179,40,32
41,3,12,14,2,3,0,4,1,0,1977,65,38
28,3,11,9,2,0,0,4,1,0,0,40,38
46,5,11,9,2,2,0,4,1,0,0,25,38
28,-1,15,10,2,-1,5,4,0,0,1887,40,38
32,3,15,10,2,3,0,4,1,0,0,50,38
41,1,15,10,0,7,1,2,0,0,0,24,38
24,3,11,9,4,5,4,2,0,0,0,40,38
33,3,15,10,0,3,4,4,0,0,0,40,38
46,3,10,16,2,3,0,4,1,15024,0,60,38
31,6,15,10,2,6,0,4,1,0,0,40,38
35,3,2,8,0,2,1,4,1,0,0,50,38
52,3,3,2,2,6,0,4,1,0,0,40,25
30,3,1,7,4,7,3,4,0,0,0,19,38
34,1,1,7,5,6,1,2,1,0,0,40,38
34,6,11,9,0,13,4,4,0,0,0,40,38
20,3,15,10,2,11,0,4,1,0,0,30,38
17,3,1,7,4,5,3,4,1,2176,0,18,38
32,6,9,13,2,3,5,4,0,0,0,40,38
29,3,11,9,0,4,1,4,1,0,0,40,38
33,3,0,6,4,2,4,4,0,0,0,35,38
25,3,11,9,2,13,0,4,1,0,0,60,38
36,0,12,14,4,9,1,4,1,0,1408,40,38
23,3,11,9,4,5,1,4,1,0,0,72,5
63,4,11,9,2,3,0,4,1,0,0,40,38
47,1,12,14,2,9,0,4,1,0,0,40,38
80,-1,11,9,6,-1,1,4,1,0,0,24,38
17,-1,1,7,4,-1,3,4,1,0,0,40,38
40,5,9,13,3,9,1,4,0,2174,0,40,38
30,3,7,12,2,7,5,4,0,0,0,25,38
27,3,15,10,4,2,3,1,1,0,1980,40,29
33,3,12,14,2,9,0,4,1,0,0,50,38
34,1,11,9,4,4,1,2,1,594,0,60,38
34,1,15,10,4,10,1,4,0,0,0,40,38
23,3,15,10,2,0,0,4,1,0,0,40,38
42,1,15,10,2,0,5,4,0,0,0,40,38
29,3,9,13,4,9,1,4,1,0,0,40,38
45,3,11,9,0,0,1,4,0,0,0,28,38
24,0,11,9,4,1,3,4,1,0,0,40,38
44,3,15,10,2,9,0,4,1,0,0,40,38
27,3,6,5,4,2,2,4,1,0,0,40,25
20,3,15,10,4,11,1,4,1,0,0,35,38
44,3,11,9,6,3,4,2,0,0,0,40,38
51,3,11,9,2,2,0,0,1,0,0,40,38
20,3,11,9,2,6,0,4,1,0,0,40,38
17,-1,1,7,4,-1,3,4,0,0,0,5,38
19,3,11,9,4,6,3,2,0,0,0,40,38
45,4,15,10,2,2,0,4,1,0,0,55,38
60,3,11,9,2,2,0,4,1,0,0,40,38
42,3,7,12,2,3,0,2,1,0,0,40,-1
44,5,11,9,2,11,5,4,0,0,0,40,38
40,3,8,11,2,6,0,1,1,0,0,40,38
30,3,11,9,2,3,5,4,0,0,0,40,38
38,3,15,10,2,13,0,2,1,0,0,50,38
23,3,11,9,2,13,0,4,1,0,0,60,38
32,-1,15,10,2,-1,0,4,1,0,0,40,38
44,3,7,12,4,4,3,4,1,0,0,40,38
54,1,11,9,2,13,0,2,1,0,0,40,38
32,3,9,13,2,9,0,4,1,0,0,50,38
50,3,3,2,3,2,4,4,1,0,0,40,38
24,3,9,13,4,12,1,4,0,0,0,20,38
37,3,11,9,2,0,5,4,0,0,0,60,38
52,3,11,9,0,13,4,4,1,0,0,40,38
38,3,15,10,2,13,0,4,1,0,0,40,38
49,3,12,14,2,3,0,4,1,0,1977,45,38
30,3,9,13,2,12,5,4,0,0,0,16,38
60,3,15,10,4,9,4,4,1,0,0,40,38
22,-1,15,10,4,-1,3,4,1,0,0,40,38
35,3,11,9,4,2,1,4,1,0,0,40,38
30,3,11,9,4,13,1,4,1,0,0,60,38
67,3,8,11,0,7,1,4,0,0,0,24,38
46,3,9,13,4,2,1,4,0,0,0,40,38
17,3,6,5,4,7,1,4,1,0,0,6,38
22,3,15,10,4,5,3,4,1,0,0,30,38
27,3,0,6,4,7,1,4,1,0,0,40,38
23,3,11,9,4,7,4,4,0,0,0,35,38
33,3,7,12,2,2,0,4,1,0,0,45,31
43,5,15,10,2,2,0,4,1,0,0,20,38
28,6,9,13,4,9,1,4,1,0,0,20,38
41,3,11,9,3,2,4,4,0,0,0,40,38
52,-1,2,8,4,-1,2,2,1,594,0,40,38
25,3,15,10,3,0,3,2,0,0,0,20,38
63,-1,3,2,2,-1,0,4,1,0,0,35,38
59,1,11,9,2,13,0,4,1,0,0,45,38
45,1,9,13,0,9,4,4,0,0,0,40,38
38,3,9,13,2,11,0,4,1,15024,0,60,38
40,3,11,9,4,7,1,4,0,0,0,35,38
46,0,11,9,0,0,1,4,1,0,0,40,38
35,3,7,12,4,3,1,4,0,0,0,60,38
34,3,11,9,0,9,4,4,0,0,0,25,38
33,3,9,13,4,2,3,4,1,0,0,20,38
41,3,11,9,0,0,4,4,0,0,0,36,38
20,3,15,10,4,6,3,4,1,0,0,40,38
23,3,4,3,4,7,3,4,1,0,0,40,7
26,3,15,10,4,9,1,4,0,0,0,35,38
72,-1,11,9,2,-1,0,4,1,0,0,20,38
23,1,11,9,4,4,1,4,1,0,0,40,30
62,1,11,9,2,13,0,4,1,0,0,40,38
52,3,15,10,2,0,0,4,1,0,0,40,38
58,3,15,10,0,7,4,4,0,0,0,42,9
25,3,9,13,4,11,1,4,0,0,0,40,38
24,3,9,13,4,3,1,2,1,0,0,40,38
19,3,15,10,4,10,3,4,1,0,0,8,38
43,3,15,10,2,3,0,4,1,0,0,40,38
47,1,11,9,5,0,4,2,0,0,0,40,38
39,3,11,9,0,7,4,4,0,0,0,40,38
49,3,8,11,3,5,4,4,1,0,1380,42,38
53,-1,4,3,6,-1,4,2,0,0,0,30,38
32,3,8,11,4,2,1,4,1,0,0,45,38
34,3,15,10,2,9,0,4,1,0,0,50,38
28,3,11,9,0,2,1,4,1,0,0,45,38
57,-1,8,11,6,-1,4,4,0,0,0,38,38
25,3,15,10,4,0,1,0,0,0,0,20,38
20,-1,15,10,4,-1,3,4,1,0,0,24,38
21,-1,15,10,4,-1,4,4,0,0,0,35,38
34,3,9,13,2,9,0,4,1,0,0,50,38
38,4,9,13,2,3,0,4,1,15024,0,80,38
50,3,11,9,2,3,0,4,1,7688,0,50,38
24,1,15,10,0,5,1,2,1,0,0,50,38
37,1,15,10,2,12,0,4,1,0,0,45,38
44,3,15,10,0,6,4,4,1,0,0,58,38
28,3,15,10,2,11,5,4,0,0,0,40,38
42,3,9,13,2,3,0,4,1,0,0,40,38
74,3,15,10,0,0,1,4,0,0,0,9,38
