city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours
48,0.91,-1,0,2,-1,-1,2,-1,-1,0,4
48,0.91,-1,0,2,2,0,21,2,2,4,55
64,0.624,1,0,2,0,5,16,3,5,3,49
48,0.91,1,0,2,0,5,6,-1,-1,4,72
114,0.925,1,0,0,0,5,5,6,5,2,141
13,0.926,1,1,2,1,-1,16,-1,5,5,28
5,0.92,1,0,2,0,5,4,3,5,0,6
5,0.92,1,0,2,0,3,8,6,5,0,125
103,0.939,-1,0,2,0,5,21,-1,-1,5,326
5,0.92,1,0,2,0,4,21,1,5,1,33
4,0.804,-1,1,2,2,5,16,3,5,4,40
49,0.92,-1,0,2,0,5,9,-1,-1,0,198
5,0.92,0,0,2,2,5,6,3,5,4,55
42,0.698,1,1,2,0,5,21,5,5,4,32
5,0.92,1,0,2,0,0,21,1,5,4,11
101,0.754,1,0,2,0,5,21,7,5,0,41
5,0.92,1,0,2,2,5,21,3,4,4,87
95,0.855,1,0,2,2,5,1,1,5,3,114
98,0.698,-1,0,-1,-1,-1,21,-1,-1,4,33
116,0.698,1,0,1,2,5,15,7,0,0,15
48,0.91,-1,1,0,1,-1,13,-1,-1,0,8
55,0.878,0,0,1,1,-1,11,1,2,0,22
5,0.92,1,0,2,2,5,21,6,5,3,13
121,0.949,1,0,2,0,5,21,7,4,0,246
5,0.92,1,0,2,2,5,19,0,5,0,22
5,0.92,1,0,2,2,5,21,7,1,0,81
56,0.7759999999999999,-1,0,0,0,5,14,0,1,0,11
119,0.698,1,1,0,0,5,15,6,-1,-1,24
5,0.92,1,0,2,0,5,21,1,1,0,50
6,0.924,1,1,0,1,-1,16,-1,-1,5,15
70,0.939,1,0,2,2,5,21,0,5,4,31
13,0.926,1,0,2,2,5,21,4,5,5,84
30,0.897,1,0,1,0,5,14,3,5,0,42
64,0.624,-1,0,2,0,5,1,0,5,4,105
5,0.92,0,0,2,0,5,21,4,5,4,72
14,0.789,1,0,2,0,5,5,0,5,4,42
119,0.698,1,0,2,0,5,6,4,0,0,152
5,0.92,1,0,2,0,5,3,3,5,0,60
64,0.624,1,1,0,2,5,11,-1,-1,5,8
48,0.91,1,1,0,2,5,4,-1,-1,2,17
112,0.923,1,1,2,1,-1,0,-1,-1,0,33
48,0.91,1,0,2,2,5,14,1,1,5,38
5,0.92,1,0,2,0,2,5,7,0,1,178
49,0.92,1,0,2,0,5,6,4,5,0,11
74,0.893,1,0,2,1,-1,21,-1,-1,5,87
94,0.802,1,0,2,0,5,4,-1,-1,5,84
99,0.884,1,0,2,0,5,21,1,0,1,32
2,0.887,-1,0,2,2,5,19,1,5,0,31
64,0.624,1,1,2,0,5,11,5,4,0,39
90,0.775,-1,0,2,0,5,17,0,5,0,12
64,0.624,-1,0,0,0,5,15,3,5,0,50
51,0.903,1,0,2,0,5,13,1,5,0,55
11,0.55,-1,0,2,0,5,15,4,5,-1,7
5,0.92,1,0,2,2,2,11,4,0,0,104
49,0.92,-1,0,0,0,1,21,-1,-1,4,90
5,0.92,1,0,2,2,4,21,1,5,4,8
64,0.624,1,1,0,0,5,11,-1,-1,5,102
64,0.624,-1,0,2,2,5,20,0,5,0,202
39,0.555,-1,0,2,0,5,14,1,5,0,22
64,0.624,1,1,0,0,5,13,-1,5,5,42
49,0.92,-1,1,2,4,-1,14,-1,5,5,50
64,0.624,1,0,2,2,5,13,4,1,0,88
101,0.754,-1,0,2,0,5,15,2,5,3,81
5,0.92,1,0,2,2,5,21,3,5,0,7
64,0.624,1,1,2,-1,-1,13,-1,5,5,218
48,0.91,1,0,2,0,5,21,3,5,4,62
5,0.92,1,0,2,0,5,16,4,5,0,83
70,0.939,1,0,2,0,5,19,2,5,4,11
13,0.926,1,1,1,3,5,21,4,-1,4,10
70,0.939,1,0,2,2,5,1,2,5,0,114
64,0.624,-1,0,2,2,5,13,4,5,0,36
4,0.804,-1,1,-1,2,5,16,0,5,0,17
48,0.91,1,1,0,0,5,11,-1,-1,5,80
49,0.92,1,0,1,0,5,21,4,4,4,108
5,0.92,1,0,2,0,5,11,1,5,1,45
5,0.92,1,1,0,0,5,15,-1,-1,5,77
13,0.926,1,0,2,2,5,6,1,5,1,8
55,0.878,-1,1,2,0,5,15,-1,-1,0,28
36,0.727,0,0,2,0,5,19,1,1,4,37
48,0.91,-1,1,0,0,5,11,-1,-1,1,108
5,0.92,1,0,2,0,5,4,5,5,1,162
101,0.754,-1,0,0,1,-1,19,-1,-1,4,41
51,0.903,1,0,2,2,5,10,1,5,3,4
99,0.884,0,1,2,3,5,13,2,4,0,41
51,0.903,-1,0,2,0,5,8,3,5,1,12
5,0.92,1,0,2,0,5,21,4,5,0,190
64,0.624,-1,0,2,0,5,17,4,5,4,29
5,0.92,1,0,2,0,5,16,1,4,0,11
5,0.92,1,1,0,1,-1,13,3,5,0,30
5,0.92,1,0,2,2,5,4,1,-1,4,39
4,0.804,1,0,0,1,-1,19,-1,-1,0,16
13,0.926,1,1,2,0,5,21,4,5,4,5
68,0.698,1,1,0,1,-1,18,-1,-1,5,39
13,0.926,1,0,2,2,5,1,4,5,4,29
64,0.624,-1,0,0,2,5,14,4,2,1,210
5,0.92,2,1,1,1,-1,16,4,1,0,54
49,0.92,1,0,2,0,5,19,4,5,2,44
48,0.91,1,0,2,0,5,6,-1,-1,4,47
5,0.92,1,0,2,0,5,21,2,2,4,74
64,0.624,1,0,2,2,5,16,0,5,0,8
64,0.624,-1,1,0,0,5,17,-1,-1,5,20
5,0.92,1,0,2,0,5,13,5,5,0,162
74,0.893,-1,1,2,0,1,11,4,5,0,110
83,0.762,2,0,1,1,-1,13,0,5,0,262
31,0.836,1,0,2,2,5,5,-1,-1,0,6
93,0.6659999999999999,1,0,1,0,5,19,0,5,0,19
93,0.6659999999999999,2,1,2,0,5,21,4,5,4,23
64,0.624,1,1,-1,0,5,20,-1,-1,0,107
30,0.897,1,0,2,2,5,6,3,-1,4,134
13,0.926,1,0,2,2,5,2,0,0,0,40
99,0.884,1,0,2,0,5,3,4,5,0,11
49,0.92,1,0,2,0,5,2,-1,-1,2,102
64,0.624,1,1,0,0,5,11,-1,-1,5,100
112,0.923,1,1,2,2,5,13,3,5,5,30
5,0.92,-1,1,2,1,-1,15,-1,-1,0,20
5,0.92,-1,0,2,0,5,5,2,5,2,4
48,0.91,-1,1,2,4,-1,15,-1,-1,5,15
64,0.624,1,1,2,0,5,20,-1,-1,0,14
112,0.923,1,1,2,4,-1,0,-1,5,5,103
49,0.92,1,0,1,0,5,15,2,4,1,40
48,0.91,1,0,2,3,5,21,1,5,1,27
13,0.926,1,1,2,1,-1,1,1,5,4,46
13,0.926,1,0,2,1,-1,17,4,5,4,110
5,0.92,1,0,2,0,5,4,4,1,0,96
5,0.92,-1,0,2,0,5,15,3,5,1,57
49,0.92,1,0,0,0,5,16,-1,-1,0,240
121,0.949,1,0,2,0,5,14,4,1,3,42
103,0.939,1,0,2,2,5,17,-1,-1,0,16
18,0.64,1,0,2,0,5,21,4,5,5,40
5,0.92,1,0,2,0,5,15,1,1,1,94
75,0.794,-1,1,2,0,5,19,6,5,0,160
55,0.878,1,1,1,0,5,1,0,0,0,25
80,0.516,1,0,2,0,5,19,7,0,0,11
55,0.878,-1,0,2,1,-1,20,1,5,0,29
116,0.698,1,0,2,0,5,18,-1,-1,0,23
36,0.727,1,0,2,0,5,1,0,5,1,113
101,0.754,-1,0,2,0,5,6,-1,-1,1,56
6,0.924,1,1,0,0,5,11,-1,-1,0,39
5,0.92,-1,1,2,0,5,11,2,5,0,20
49,0.92,1,0,0,0,5,21,3,5,0,40
5,0.92,1,0,2,2,5,21,7,5,4,56
39,0.555,-1,1,0,0,5,14,-1,-1,0,106
13,0.926,1,0,1,0,5,10,5,5,1,64
101,0.754,1,0,2,0,5,15,3,5,0,51
95,0.855,0,0,0,0,5,16,2,5,1,41
5,0.92,-1,0,2,0,5,12,1,5,4,150
102,0.579,1,0,2,0,5,14,0,5,0,320
30,0.897,1,0,2,2,5,17,-1,-1,5,20
64,0.624,1,1,0,-1,-1,14,2,5,0,9
4,0.804,1,0,0,0,5,19,6,5,0,74
64,0.624,1,0,2,2,5,13,-1,4,0,129
95,0.855,0,0,2,2,5,1,-1,-1,0,42
91,0.913,-1,1,2,1,-1,11,1,5,5,58
5,0.92,1,1,0,1,-1,13,-1,-1,0,126
5,0.92,-1,1,2,1,-1,14,-1,-1,0,45
112,0.923,1,0,2,0,5,21,0,5,4,166
91,0.913,1,0,2,0,5,11,4,5,0,110
5,0.92,1,0,0,0,5,21,-1,-1,0,37
4,0.804,0,0,1,0,5,11,-1,-1,0,95
5,0.92,1,0,2,0,5,21,-1,-1,4,29
13,0.926,1,0,2,2,5,21,4,5,4,31
15,0.743,1,1,0,2,5,2,4,5,4,97
13,0.926,1,1,2,4,-1,13,-1,-1,5,16
5,0.92,1,1,2,4,-1,14,-1,-1,5,14
4,0.804,1,0,2,3,5,21,1,5,4,206
5,0.92,0,0,2,0,5,11,0,1,0,204
5,0.92,1,0,2,2,5,9,3,5,1,116
4,0.804,-1,0,2,2,5,7,1,5,3,161
49,0.92,1,0,2,0,5,21,-1,-1,4,25
5,0.92,-1,0,2,0,5,9,5,5,4,94
5,0.92,-1,0,2,0,5,6,3,5,4,16
116,0.698,1,0,0,2,5,6,-1,-1,0,100
5,0.92,1,0,2,0,5,12,3,5,5,107
45,0.769,1,0,1,2,5,2,-1,-1,0,17
48,0.91,1,0,2,0,5,1,7,5,0,140
103,0.939,1,0,2,0,2,13,3,5,1,75
103,0.939,-1,0,2,1,-1,16,-1,-1,0,59
65,0.899,-1,0,2,1,-1,16,4,-1,0,146
118,0.865,-1,1,2,-1,-1,13,-1,-1,5,302
95,0.855,0,0,2,2,5,19,1,5,1,42
5,0.92,-1,0,2,0,3,5,-1,5,0,131
119,0.698,-1,0,1,1,-1,19,-1,-1,3,74
48,0.91,0,0,2,0,5,17,3,5,0,22
4,0.804,-1,1,2,0,5,13,-1,-1,5,53
91,0.913,1,0,2,2,5,21,5,5,4,143
95,0.855,0,0,2,0,5,5,4,5,1,72
5,0.92,1,0,2,1,-1,2,5,5,0,7
30,0.897,1,1,0,0,5,13,4,0,0,182
122,0.915,1,0,2,0,5,6,4,5,3,50
2,0.887,1,0,2,1,-1,11,4,4,0,82
48,0.91,1,0,-1,0,5,11,3,5,0,58
6,0.924,-1,0,2,0,5,19,0,5,0,94
64,0.624,1,0,2,0,5,14,7,-1,1,60
94,0.802,1,0,0,2,5,15,1,5,3,124
41,0.6890000000000001,-1,1,2,4,-1,11,-1,-1,1,46
43,0.698,1,1,0,2,5,13,-1,2,1,57
49,0.92,0,0,2,0,5,19,4,5,0,17
5,0.92,-1,0,2,0,5,5,6,5,4,101
42,0.698,1,1,2,4,-1,13,-1,5,5,31
30,0.897,1,0,2,0,5,21,-1,-1,0,36
74,0.893,1,0,1,0,5,6,-1,-1,3,198
48,0.91,1,1,2,2,5,15,3,5,5,31
11,0.55,-1,0,-1,2,5,19,4,5,0,12
5,0.92,1,0,2,0,5,21,4,1,0,31
5,0.92,1,0,2,0,5,12,-1,-1,4,26
5,0.92,1,0,2,0,5,16,4,5,0,55
64,0.624,1,0,2,0,5,2,-1,-1,4,8
48,0.91,1,0,2,1,-1,21,1,5,4,38
65,0.899,1,0,2,0,2,7,-1,-1,1,8
55,0.878,1,0,2,2,5,21,2,5,2,32
77,0.7759999999999999,1,0,1,0,5,9,1,1,4,51
4,0.804,1,0,0,0,5,19,6,5,1,22
13,0.926,1,0,0,1,-1,17,-1,-1,0,17
48,0.91,1,1,-1,-1,-1,13,-1,-1,5,24
65,0.899,1,0,2,0,5,15,0,1,0,19
64,0.624,1,0,0,2,5,19,4,5,1,46
48,0.91,0,0,2,0,5,4,4,5,4,15
49,0.92,1,0,2,2,5,21,-1,-1,4,23
74,0.893,1,0,2,0,5,21,1,5,4,38
64,0.624,-1,1,0,2,5,14,-1,-1,5,46
4,0.804,-1,1,0,0,1,20,-1,-1,5,214
5,0.92,1,0,2,0,5,21,2,4,4,52
5,0.92,0,1,2,0,5,20,-1,-1,5,22
13,0.926,1,0,2,2,5,6,1,5,1,65
49,0.92,-1,0,0,0,3,5,4,5,0,64
5,0.92,1,0,2,0,5,17,6,5,3,86
2,0.887,1,1,0,0,5,14,-1,-1,0,52
30,0.897,-1,0,2,2,5,5,-1,-1,4,21
13,0.926,1,1,2,0,5,13,2,4,0,86
30,0.897,1,1,0,2,5,15,-1,-1,3,288
48,0.91,1,0,2,2,5,21,1,5,4,53
103,0.939,1,0,2,0,5,8,4,-1,0,60
48,0.91,1,0,2,2,5,9,-1,-1,4,178
103,0.939,1,0,2,3,5,21,4,5,1,166
6,0.924,1,0,2,3,2,21,-1,-1,0,62
64,0.624,1,0,0,0,5,17,3,-1,0,35
5,0.92,1,0,2,0,5,8,1,5,4,106
31,0.836,1,1,2,0,5,16,7,5,5,58
116,0.698,1,0,0,2,-1,-1,-1,-1,-1,44
48,0.91,1,0,-1,2,5,16,4,1,0,72
5,0.92,-1,0,2,1,-1,9,3,5,0,80
103,0.939,1,0,2,2,5,7,6,2,1,166
1,0.895,-1,0,2,2,5,21,1,5,0,25
5,0.92,1,0,2,0,1,21,3,5,5,109
99,0.884,1,0,2,0,5,0,7,0,0,37
11,0.55,-1,1,0,0,5,14,-1,-1,5,55
5,0.92,1,1,-1,-1,-1,13,-1,-1,5,32
82,0.89,1,1,2,0,5,19,4,5,2,51
5,0.92,1,0,2,0,5,7,4,1,0,84
13,0.926,1,0,2,0,5,21,5,2,0,72
2,0.887,1,0,2,1,-1,21,1,5,0,47
95,0.855,1,1,0,0,5,3,-1,-1,3,47
101,0.754,1,0,-1,1,-1,16,7,1,1,20
64,0.624,1,0,2,0,5,18,-1,-1,0,198
5,0.92,1,1,2,0,4,11,2,4,0,64
85,0.8959999999999999,1,0,2,2,5,6,3,5,4,23
99,0.884,1,1,0,2,5,5,1,4,2,96
64,0.624,1,1,2,1,-1,11,-1,5,5,306
101,0.754,1,0,2,0,5,19,7,2,0,8
83,0.762,1,0,2,0,5,21,1,5,0,48
64,0.624,1,0,2,0,5,18,0,5,0,98
13,0.926,-1,1,2,3,5,17,5,2,5,46
5,0.92,1,1,0,0,5,0,-1,-1,0,53
5,0.92,1,0,2,0,0,21,7,5,0,102
49,0.92,-1,1,0,0,5,14,-1,-1,0,76
5,0.92,1,1,2,4,-1,0,-1,-1,5,43
5,0.92,1,1,2,0,5,21,4,5,4,32
95,0.855,-1,0,2,0,5,15,-1,-1,0,54
50,0.767,-1,0,0,2,5,18,0,5,0,7
99,0.884,0,0,2,2,5,13,-1,-1,1,322
109,0.847,-1,0,2,-1,-1,21,5,-1,5,96
49,0.92,0,0,0,0,5,14,6,5,0,7
48,0.91,1,0,2,0,5,7,0,5,0,53
95,0.855,1,0,2,0,5,1,0,1,0,161
30,0.897,1,1,2,2,5,18,0,5,0,11
78,0.8270000000000001,-1,0,2,0,5,19,1,4,1,6
64,0.624,1,1,0,0,5,0,4,-1,0,72
7,0.794,0,0,2,2,2,16,4,5,0,182
103,0.939,1,0,2,0,5,21,6,5,4,67
24,0.527,0,1,2,0,5,0,-1,-1,0,50
99,0.884,0,1,1,0,5,15,1,5,0,16
48,0.91,1,0,2,0,5,21,3,5,4,38
5,0.92,2,0,2,0,0,15,0,0,0,98
98,0.698,1,1,1,0,5,14,-1,-1,1,7
49,0.92,1,1,0,0,5,11,-1,-1,0,88
99,0.884,1,0,2,2,5,14,1,5,1,112
46,0.7659999999999999,2,0,0,0,5,6,6,-1,5,30
21,0.738,-1,0,2,0,5,19,4,1,0,9
95,0.855,2,1,0,1,-1,14,3,5,0,36
48,0.91,1,0,2,0,5,10,1,5,3,24
5,0.92,1,0,2,2,2,11,3,2,0,28
55,0.878,1,0,1,0,5,1,4,4,0,166
64,0.624,1,0,0,2,5,1,4,5,1,61
83,0.762,1,0,2,0,5,21,4,4,2,24
48,0.91,1,1,0,0,5,1,-1,-1,0,8
51,0.903,1,0,2,0,5,19,-1,-1,0,133
95,0.855,1,0,2,0,5,5,-1,-1,4,143
55,0.878,1,0,2,0,5,21,0,5,4,29
5,0.92,-1,0,2,0,5,17,3,5,0,53
5,0.92,1,0,2,0,5,19,3,4,4,11
64,0.624,1,0,2,0,5,14,4,-1,0,7
83,0.762,1,0,2,0,5,18,4,5,4,87
5,0.92,1,0,2,0,5,18,0,1,0,18
78,0.8270000000000001,1,0,2,0,0,19,2,5,0,76
64,0.624,1,0,2,0,5,16,3,5,0,114
5,0.92,-1,1,0,1,-1,15,-1,-1,-1,56
48,0.91,1,0,2,0,5,17,4,-1,4,30
112,0.923,1,0,2,0,5,21,5,5,4,80
77,0.7759999999999999,1,0,0,0,5,5,2,5,5,52
64,0.624,0,0,2,0,5,20,4,5,0,13
50,0.767,-1,0,2,0,5,14,1,4,5,42
50,0.767,-1,0,1,2,5,16,4,5,0,56
64,0.624,1,1,2,4,-1,11,-1,-1,5,12
31,0.836,1,0,2,2,2,11,1,5,0,36
13,0.926,1,0,2,2,5,21,2,5,4,67
64,0.624,-1,0,2,0,5,18,4,5,0,13
5,0.92,1,0,2,0,5,19,-1,5,0,100
48,0.91,1,0,2,3,5,6,3,5,0,58
64,0.624,1,0,2,0,5,17,1,5,0,18
64,0.624,-1,0,2,2,5,11,3,5,1,90
18,0.64,-1,1,2,2,5,16,3,-1,0,59
4,0.804,-1,0,2,2,5,11,3,5,1,35
94,0.802,1,0,0,0,5,20,3,5,1,11
64,0.624,1,0,2,0,5,14,-1,-1,1,15
5,0.92,1,0,2,0,4,1,4,5,4,206
97,0.647,-1,0,2,2,5,19,4,5,0,130
5,0.92,-1,1,-1,-1,-1,0,-1,-1,5,30
70,0.939,1,0,2,2,5,21,3,5,4,88
64,0.624,-1,1,2,2,1,20,3,5,0,18
64,0.624,-1,0,2,0,5,18,0,5,0,41
13,0.926,1,0,1,2,5,5,3,5,1,16
6,0.924,1,0,2,0,5,21,2,5,4,95
64,0.624,1,1,2,0,5,16,-1,4,0,53
5,0.92,1,0,2,0,5,21,-1,-1,4,220
95,0.855,-1,0,2,2,5,21,4,5,1,21
100,0.795,1,0,2,2,5,21,1,4,4,94
5,0.92,1,0,2,0,3,8,0,5,2,20
3,0.5579999999999999,1,1,2,0,5,18,-1,-1,5,47
5,0.92,1,0,2,0,5,21,-1,-1,1,60
64,0.624,1,0,2,0,5,16,3,5,3,78
5,0.92,-1,1,2,0,5,14,3,4,0,5
7,0.794,1,0,2,-1,-1,16,4,-1,0,20
103,0.939,1,0,2,0,5,21,3,5,2,2
7,0.794,0,0,0,0,5,19,1,5,4,206
95,0.855,1,1,2,1,-1,3,-1,-1,0,90
61,0.682,1,0,2,0,5,3,1,5,2,25
64,0.624,1,0,0,0,5,15,0,5,0,8
13,0.926,1,0,2,0,5,19,5,5,1,22
5,0.92,1,0,2,0,2,10,1,5,4,90
48,0.91,-1,0,2,0,5,19,7,0,0,56
5,0.92,1,0,0,1,-1,1,-1,-1,1,81
13,0.926,1,0,2,0,5,17,7,5,0,120
64,0.624,1,0,2,0,5,14,4,5,5,18
2,0.887,-1,0,2,1,-1,21,4,5,5,19
94,0.802,1,0,0,0,5,18,6,5,1,314
